route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI
T100,2026-04,81,80,0,1,0.0216450216450217,0.987654320987654,0.9663
T101,2026-04,386,354,27,5,0.0416025397021088,0.917098445595855,0.8789
T102,2026-04,587,559,13,15,0.063572876865392,0.952299829642249,0.8918
T103,2026-04,260,244,13,3,0.0344469817873824,0.938461538461539,0.9061
T104,2026-04,59,57,0,2,0.147720032451778,0.966101694915254,0.8234
T105,2026-04,350,341,4,5,0.0286110491524295,0.974285714285714,0.9464
T106,2026-04,323,311,8,4,0.00995487411383576,0.962848297213622,0.9533
T107,2026-04,140,137,0,3,0.0274297702548522,0.978571428571428,0.9517
T108,2026-04,586,537,44,5,0.0638964402660601,0.916382252559727,0.8578
T109,2026-04,361,336,18,7,0.0560845398982278,0.930747922437673,0.8785
T110,2026-04,247,226,21,0,0.0259132381784587,0.91497975708502,0.8913
T114,2026-04,472,397,64,11,0.101004017608162,0.841101694915254,0.7561
T115,2026-04,342,309,33,0,0.0269206146053905,0.903508771929825,0.8792
T117,2026-04,182,182,0,0,0,1,1
T121,2026-04,42,41,1,0,0.00565832426550598,0.976190476190476,0.9707
T152,2026-04,383,329,50,4,0.0362101734471055,0.859007832898172,0.8279
T154,2026-04,367,335,24,8,0.0498056449669485,0.912806539509537,0.8673
T180,2026-04,277,269,3,5,0.0262668371001996,0.971119133574007,0.9456
T305,2026-04,420,373,39,8,0.167698046943197,0.888095238095238,0.7392
T352,2026-04,601,510,87,4,0.0782277237653938,0.848585690515807,0.7822
T400,2026-04,343,330,10,3,0.0307722857156707,0.962099125364432,0.9325
T401,2026-04,287,262,24,1,0.0398031359695395,0.912891986062718,0.8766
T402,2026-04,220,210,6,4,0.0969185132737065,0.954545454545455,0.862
T407,2026-04,83,74,9,0,0.125927719693346,0.891566265060241,0.7793
T408,2026-04,425,388,36,1,0.0401963076769668,0.912941176470588,0.8762
T409,2026-04,372,359,12,1,0.017728507204985,0.96505376344086,0.9479
T410,2026-04,311,218,90,3,0.115153014545504,0.70096463022508,0.6202
T411,2026-04,134,130,3,1,0.0125921138141829,0.970149253731343,0.9579
T412,2026-04,386,378,2,6,0.0218638480098302,0.979274611398964,0.9579
T413,2026-04,311,306,2,3,0.0172190324818539,0.983922829581994,0.967
T414,2026-04,258,241,14,3,0.0794613329546033,0.934108527131783,0.8599
T415,2026-04,174,137,34,3,0.112670215247453,0.787356321839081,0.6986
T416,2026-04,238,222,13,3,0.132440688885267,0.932773109243698,0.8092
T417,2026-04,307,304,0,3,0.0505703228850743,0.990228013029316,0.9402
T418,2026-04,170,145,25,0,0.0417933255866053,0.852941176470588,0.8173
T419,2026-04,195,161,30,4,0.131408181894967,0.825641025641026,0.7171
T451,2026-04,288,246,42,0,0.080179353809307,0.854166666666667,0.7857
T453,2026-04,211,196,15,0,0.0313389182174334,0.928909952606635,0.8998
T455,2026-04,258,253,1,4,0.0203833774400285,0.98062015503876,0.9606
T457,2026-04,177,168,9,0,0.0239065997671826,0.949152542372881,0.9265
T458,2026-04,343,306,35,2,0.0275268356907347,0.892128279883382,0.8676
T459,2026-04,165,141,23,1,0.0402547966659955,0.854545454545455,0.8201
T460,2026-04,437,390,45,2,0.0249281401466681,0.892448512585812,0.8702
T461,2026-04,122,115,6,1,0.0536913175596831,0.942622950819672,0.892
T462,2026-04,168,159,5,4,0.0185612531061873,0.946428571428571,0.9289
T463,2026-04,408,393,15,0,0.0278680537272642,0.963235294117647,0.9364
T464,2026-04,356,298,56,2,0.0748604060074801,0.837078651685393,0.7744
T465,2026-04,150,127,19,4,0.0660252936340821,0.846666666666667,0.7908
T504,2026-04,213,194,15,4,0.00829683060346141,0.910798122065728,0.9032
T505,2026-04,280,258,17,5,0.0382485633509843,0.921428571428571,0.8862
T506,2026-04,231,217,14,0,0.0167959632406495,0.939393939393939,0.9236
T507,2026-04,57,54,3,0,0.0120767777072338,0.947368421052632,0.9359
T509,2026-04,143,127,13,3,0.0892521802018836,0.888111888111888,0.8088
T511,2026-04,222,197,24,1,0.083787815130706,0.887387387387387,0.813
T543,2026-04,247,221,24,2,0.0284209514811082,0.894736842105263,0.8693
T544,2026-04,116,112,1,3,0.118542297702825,0.96551724137931,0.8511
T545,2026-04,14,11,2,1,0.073015873015873,0.785714285714286,0.7283
T559,2026-04,158,129,23,6,0.107219286635836,0.816455696202532,0.7289
T560,2026-04,213,197,14,2,0.0378464249713199,0.924882629107981,0.8899
T561,2026-04,152,143,7,2,0.0109355158299665,0.94078947368421,0.9305
T565,2026-04,222,210,8,4,0.03082717312262,0.945945945945946,0.9168
T566,2026-04,340,326,13,1,0.0340345668314306,0.958823529411765,0.9262
T567,2026-04,129,122,5,2,0.0150753031151996,0.945736434108527,0.9315
T568,2026-04,292,242,45,5,0.0590387529734423,0.828767123287671,0.7798
T569,2026-04,93,84,7,2,0.0799865853111304,0.903225806451613,0.831
T585,2026-04,356,340,12,4,0.0621393466872284,0.955056179775281,0.8957
