route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI
T100,2025-12,144,141,2,1,0.00974265371506416,0.979166666666667,0.9696
T101,2025-12,211,194,12,5,0.0753362834309718,0.919431279620853,0.8502
T102,2025-12,312,291,14,7,0.0393962502619191,0.932692307692308,0.8959
T103,2025-12,270,251,16,3,0.0366160483676548,0.92962962962963,0.8956
T104,2025-12,40,36,0,4,0.0830042318558954,0.9,0.8253
T105,2025-12,320,307,11,2,0.0250646265602365,0.959375,0.9353
T106,2025-12,206,199,6,1,0.00786123466262194,0.966019417475728,0.9584
T107,2025-12,67,66,0,1,0.0330386226151698,0.985074626865672,0.9525
T108,2025-12,228,205,20,3,0.0845054415298277,0.899122807017544,0.8231
T109,2025-12,236,214,14,8,0.0897454819038843,0.906779661016949,0.8254
T110,2025-12,138,125,13,0,0.0229631536983166,0.905797101449275,0.885
T114,2025-12,191,162,26,3,0.0903664802947934,0.848167539267016,0.7715
T115,2025-12,346,319,26,1,0.024871219012949,0.921965317919075,0.899
T117,2025-12,195,195,0,0,0,1,1
T121,2025-12,79,78,0,1,0.02247920997921,0.987341772151899,0.9651
T152,2025-12,306,259,47,0,0.033155491345412,0.84640522875817,0.8183
T154,2025-12,129,117,7,5,0.0265915651232322,0.906976744186047,0.8829
T180,2025-12,296,289,4,3,0.0159746759884183,0.976351351351351,0.9608
T305,2025-12,57,50,7,0,0.107922392886015,0.87719298245614,0.7825
T352,2025-12,491,409,81,1,0.0913198720932378,0.832993890020367,0.7569
T400,2025-12,419,401,16,2,0.0115398858363097,0.957040572792363,0.946
T401,2025-12,147,138,6,3,0.0450989021720512,0.938775510204082,0.8964
T402,2025-12,158,147,4,7,2.305327507867,0.930379746835443,0
T407,2025-12,28,26,2,0,0.0845844013181985,0.928571428571429,0.85
T408,2025-12,307,277,29,1,0.0547311990692042,0.90228013029316,0.8529
T409,2025-12,192,185,6,1,0.0275417761098121,0.963541666666667,0.937
T410,2025-12,399,271,117,11,0.183319110937742,0.679197994987469,0.5547
T411,2025-12,166,162,3,1,0.0212823460590288,0.975903614457831,0.9551
T412,2025-12,418,413,4,1,0.0079684676334389,0.988038277511962,0.9802
T413,2025-12,187,183,2,2,0.00575509709211471,0.978609625668449,0.973
T414,2025-12,199,187,8,4,0.0552676267209231,0.939698492462312,0.8878
T415,2025-12,144,115,29,0,0.175324520955328,0.798611111111111,0.6586
T416,2025-12,257,239,15,3,0.121428362881006,0.929961089494163,0.817
T417,2025-12,357,350,4,3,0.018260087341271,0.980392156862745,0.9625
T418,2025-12,276,240,33,3,0.0557566709934204,0.869565217391304,0.8211
T419,2025-12,136,114,20,2,0.168238737325627,0.838235294117647,0.6972
T451,2025-12,413,340,72,1,0.080449519612092,0.823244552058111,0.757
T453,2025-12,499,442,52,5,0.0897227941368284,0.885771543086172,0.8063
T455,2025-12,213,212,0,1,0.0472113118617439,0.995305164319249,0.9483
T457,2025-12,171,163,7,1,0.0220109460619953,0.953216374269006,0.9322
T458,2025-12,189,173,16,0,0.0211936705815365,0.915343915343915,0.8959
T459,2025-12,269,240,29,0,0.0203108485961538,0.892193308550186,0.8741
T460,2025-12,190,174,15,1,0.0151807178389865,0.91578947368421,0.9019
T461,2025-12,287,266,21,0,0.0296991247409132,0.926829268292683,0.8993
T462,2025-12,161,154,7,0,0.0150035450737179,0.956521739130435,0.9422
T463,2025-12,314,302,12,0,0.0161244297983323,0.961783439490446,0.9463
T464,2025-12,467,387,75,5,0.066239279322846,0.828693790149893,0.7738
T465,2025-12,59,49,10,0,0.104777102746104,0.830508474576271,0.7435
T504,2025-12,44,42,0,2,0.527867528271406,0.954545454545455,0.4507
T505,2025-12,60,56,4,0,0.0145182309162199,0.933333333333333,0.9198
T506,2025-12,91,87,3,1,0.0303143329418955,0.956043956043956,0.9271
T507,2025-12,45,41,4,0,0.0266236385639371,0.911111111111111,0.8869
T509,2025-12,489,435,54,0,0.0800063191161902,0.889570552147239,0.8184
T511,2025-12,149,132,16,1,0.10456357531421,0.885906040268456,0.7933
T543,2025-12,259,227,30,2,0.0511078704862084,0.876447876447877,0.8317
T544,2025-12,157,146,11,0,0.0617543209157512,0.929936305732484,0.8725
T545,2025-12,27,22,4,1,0.251124986918757,0.814814814814815,0.6102
T559,2025-12,102,86,14,2,0.0897960320746405,0.843137254901961,0.7674
T560,2025-12,201,186,15,0,0.0393322204764317,0.925373134328358,0.889
T561,2025-12,274,265,7,2,0.00841230827826647,0.967153284671533,0.959
T565,2025-12,287,271,12,4,0.0405840534622023,0.944250871080139,0.9059
T566,2025-12,235,223,10,2,0.0358668222759216,0.948936170212766,0.9149
T567,2025-12,142,133,8,1,0.0452882803374652,0.936619718309859,0.8942
T568,2025-12,236,206,28,2,0.0486117002650913,0.872881355932204,0.8304
T569,2025-12,133,113,13,7,0.135586336776857,0.849624060150376,0.7344
T585,2025-12,137,129,3,5,0.0840609034455572,0.941605839416058,0.8625
