route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI
T586,2025-12,156,149,5,2,0.0368040382612081,0.955128205128205,0.92
T587,2025-12,100,98,1,1,0.0289326516897081,0.98,0.9516
T588,2025-12,265,242,21,2,0.0415805950621828,0.913207547169811,0.8752
T589,2025-12,241,224,13,4,0.0446595507697822,0.929460580912863,0.888
T772,2025-12,207,172,32,3,0.122878476183949,0.830917874396135,0.7288
T801,2025-12,191,186,2,3,0.182245790122654,0.973821989528796,0.7963
T802,2025-12,250,237,7,6,0.0938128464011695,0.948,0.8591
T803,2025-12,227,214,9,4,0.128063527495612,0.94273127753304,0.822
T804,2025-12,4,3,1,0,0.0558558558558558,0.75,0.7081
T805,2025-12,159,150,9,0,0.0459994216752354,0.943396226415094,0.9
T807,2025-12,366,345,13,8,0.0243689635722066,0.942622950819672,0.9197
T808,2025-12,122,116,6,0,0.0317020246328914,0.950819672131147,0.9207
T809,2025-12,360,340,19,1,0.00863806025911619,0.944444444444444,0.9363
T810,2025-12,208,181,24,3,0.123578260733325,0.870192307692308,0.7627
T811,2025-12,338,317,19,2,0.0507128473861171,0.937869822485207,0.8903
T812,2025-12,157,144,13,0,0.0698501781189042,0.917197452229299,0.8531
T813,2025-12,239,227,10,2,0.0128339016893279,0.94979079497908,0.9376
T814,2025-12,103,99,3,1,0.00887332957767951,0.961165048543689,0.9526
T815,2025-12,302,280,14,8,0.0727782408628439,0.927152317880795,0.8597
T816,2025-12,123,109,13,1,0.0271093918112267,0.886178861788618,0.8622
T817,2025-12,237,220,14,3,0.132978469579139,0.928270042194093,0.8048
T818,2025-12,272,251,18,3,0.0368121324496339,0.922794117647059,0.8888
T821,2025-12,261,232,25,4,0.0852722076205128,0.888888888888889,0.8131
T852,2025-12,520,457,59,4,0.064552616654843,0.878846153846154,0.8221
