route_id,date,month,BPI
T100,2025-12-01,2025-12,0.9727
T101,2025-12-01,2025-12,0.8633
T102,2025-12-01,2025-12,0.9395
T103,2025-12-01,2025-12,0.905
T104,2025-12-01,2025-12,0.8145
T105,2025-12-01,2025-12,0.9353
T106,2025-12-01,2025-12,0.9587
T107,2025-12-01,2025-12,0.9583
T108,2025-12-01,2025-12,0.8265
T109,2025-12-01,2025-12,0.8622
T110,2025-12-01,2025-12,0.9337
T114,2025-12-01,2025-12,0.5326
T115,2025-12-01,2025-12,0.8996
T117,2025-12-01,2025-12,1
T121,2025-12-01,2025-12,0.9788
T152,2025-12-01,2025-12,0.747
T154,2025-12-01,2025-12,0.9164
T180,2025-12-01,2025-12,0.9794
T305,2025-12-01,2025-12,0.7746
T352,2025-12-01,2025-12,0.8226
T400,2025-12-01,2025-12,0.946
T401,2025-12-01,2025-12,0.8883
T402,2025-12-01,2025-12,0
T408,2025-12-01,2025-12,0.8211
T409,2025-12-01,2025-12,0.9638
T410,2025-12-01,2025-12,0.5904
T411,2025-12-01,2025-12,0.8438
T412,2025-12-01,2025-12,0.9802
T413,2025-12-01,2025-12,0.973
T414,2025-12-01,2025-12,0.7957
T415,2025-12-01,2025-12,0.5173
T416,2025-12-01,2025-12,0.8464
T417,2025-12-01,2025-12,0.9736
T418,2025-12-01,2025-12,0.8617
T419,2025-12-01,2025-12,0
T451,2025-12-01,2025-12,0.7804
T453,2025-12-01,2025-12,0.7836
T455,2025-12-01,2025-12,1
T457,2025-12-01,2025-12,0.9685
T458,2025-12-01,2025-12,0.8571
T459,2025-12-01,2025-12,0.877
T460,2025-12-01,2025-12,0.8413
T461,2025-12-01,2025-12,0.9022
T462,2025-12-01,2025-12,0.9959
T463,2025-12-01,2025-12,0.9513
T464,2025-12-01,2025-12,0.7973
T465,2025-12-01,2025-12,0.8428
T509,2025-12-01,2025-12,0.8227
T511,2025-12-01,2025-12,0.743
T543,2025-12-01,2025-12,0.8317
T544,2025-12-01,2025-12,0.68
T559,2025-12-01,2025-12,0.7755
T560,2025-12-01,2025-12,0.8398
T561,2025-12-01,2025-12,0.9738
T565,2025-12-01,2025-12,0.9171
T566,2025-12-01,2025-12,0.9502
T567,2025-12-01,2025-12,0.9089
T568,2025-12-01,2025-12,0.7784
T569,2025-12-01,2025-12,0.8697
T585,2025-12-01,2025-12,0.9531
T586,2025-12-01,2025-12,0.9526
T587,2025-12-01,2025-12,0.9516
T588,2025-12-01,2025-12,0.9267
T589,2025-12-01,2025-12,0.828
T772,2025-12-01,2025-12,0.6814
T801,2025-12-01,2025-12,0.7963
T802,2025-12-01,2025-12,0.7272
T803,2025-12-01,2025-12,0.7757
T804,2025-12-01,2025-12,0
T805,2025-12-01,2025-12,0.8925
T807,2025-12-01,2025-12,0.9377
T808,2025-12-01,2025-12,0.9215
T809,2025-12-01,2025-12,0.935
T810,2025-12-01,2025-12,0.762
T811,2025-12-01,2025-12,0.8301
T812,2025-12-01,2025-12,0.8412
T813,2025-12-01,2025-12,0.9358
T814,2025-12-01,2025-12,0.9393
T815,2025-12-01,2025-12,0.8208
T816,2025-12-01,2025-12,0.8676
T817,2025-12-01,2025-12,0.7931
T818,2025-12-01,2025-12,0.9138
T821,2025-12-01,2025-12,0.5383
T852,2025-12-01,2025-12,0.8445
T100,2025-12-02,2025-12,0.4539
T101,2025-12-02,2025-12,0.5663
T102,2025-12-02,2025-12,0
T103,2025-12-02,2025-12,0
T104,2025-12-02,2025-12,0
T105,2025-12-02,2025-12,0
T106,2025-12-02,2025-12,0.7688
T107,2025-12-02,2025-12,0.7818
T108,2025-12-02,2025-12,0.6601
T109,2025-12-02,2025-12,0.2659
T110,2025-12-02,2025-12,0.6766
T114,2025-12-02,2025-12,0
T115,2025-12-02,2025-12,0.8022
T117,2025-12-02,2025-12,0.9692
T121,2025-12-02,2025-12,0.7831
T152,2025-12-02,2025-12,0.702
T154,2025-12-02,2025-12,0.136
T180,2025-12-02,2025-12,0.7653
T305,2025-12-02,2025-12,0.7825
T352,2025-12-02,2025-12,0.742
T400,2025-12-02,2025-12,0.9226
T401,2025-12-02,2025-12,0.8964
T402,2025-12-02,2025-12,0
T408,2025-12-02,2025-12,0
T409,2025-12-02,2025-12,0.9361
T410,2025-12-02,2025-12,0.4176
T411,2025-12-02,2025-12,0.0681
T412,2025-12-02,2025-12,0.9557
T413,2025-12-02,2025-12,0.9428
T414,2025-12-02,2025-12,0
T415,2025-12-02,2025-12,0.6165
T416,2025-12-02,2025-12,0
T417,2025-12-02,2025-12,0
T418,2025-12-02,2025-12,0.277
T419,2025-12-02,2025-12,0.054
T451,2025-12-02,2025-12,0.4193
T453,2025-12-02,2025-12,0
T455,2025-12-02,2025-12,0
T457,2025-12-02,2025-12,0.8589
T458,2025-12-02,2025-12,0.8433
