route_id,date,month,BPI,route_short_name,route_long_name
P1010,2025-12-01,2025-12,0,P101,Kompleks F ~ Presint 5
P1020,2025-12-01,2025-12,0.5891,P102,Presint 11 ~ Kompleks E
P1030,2025-12-01,2025-12,0.5022,P103,Presint 14 via Alamanda ~ Kompleks E
P1040,2025-12-01,2025-12,0,P104,Dataran Gemilang ~ PICC via Presint 5
P1050,2025-12-01,2025-12,0.524,P105,Dataran Gemilang ~ Kompleks ABCDE
P1060,2025-12-01,2025-12,0.9801,P106,Presint 4 ~ Kompleks E
P1080,2025-12-01,2025-12,0.746,P108,Terminal Putrajaya Sentral ~ Kompleks ABCDE
S5010,2025-12-01,2025-12,1,MENARA PRASARANA,LRT Lembah Subang ~ Menara Prasarana
S6060,2025-12-01,2025-12,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2025-12-01,2025-12,0.7367,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2025-12-01,2025-12,0.7747,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2020,2025-12-01,2025-12,0.9073,T202,Stesen LRT Taman Melati ~ Taman Melewar
T2220,2025-12-01,2025-12,0.6784,T222,Stesen LRT Sri Rampai ~ UKAY Perdana
T2230,2025-12-01,2025-12,0.9913,T223,"Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat"
T2240,2025-12-01,2025-12,0,T224,Stesen LRT Dato Keramat ~ Desa Pandan
T2500,2025-12-01,2025-12,0.8517,T250,Stesen LRT Wangsa Maju ~ Setapak Sentral
T2510,2025-12-01,2025-12,0.0028,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3008,2025-12-01,2025-12,0.1752,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3018,2025-12-01,2025-12,0.9123,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2025-12-01,2025-12,0.8342,T302,Hutan Lipur Ampang ~ Ampang Point
T3030,2025-12-01,2025-12,0.707,T303,Ampang Point ~ Stesen LRT Pandan Indah
T3048,2025-12-01,2025-12,0.3666,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T3500,2025-12-01,2025-12,0.7012,T350,Stesen LRT Cempaka ~ Taman Mawar
T3510,2025-12-01,2025-12,0.8221,T351,Stesen LRT Cempaka ~ Taman Bukit Permai
T4068,2025-12-01,2025-12,0.7893,T406,Cheras Batu 10 ~ Pangsun
T5718,2025-12-01,2025-12,0.7139,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5800,2025-12-01,2025-12,0.6292,T580,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil
T5810,2025-12-01,2025-12,0,T581,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil
T6000,2025-12-01,2025-12,0.6252,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2025-12-01,2025-12,1,T601,Puchong Utama ~ Puchong Prima
T6030,2025-12-01,2025-12,0.7972,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2025-12-01,2025-12,0.9617,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2025-12-01,2025-12,0.5982,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
T6400,2025-12-01,2025-12,0.7527,T640,Stesen LRT Taman Jaya ~ Taman Sri Sentosa
T7158,2025-12-01,2025-12,0.7002,T715,UiTM Puncak Alam ~ Bandar Puncak Alam
T7538,2025-12-01,2025-12,0.779,T753,"Hentian Bandar Shah Alam ~ Sekysen 11, 9, 8, 6, 5"
T7548,2025-12-01,2025-12,1,T754,Hentian Bandar Shah Alam ~ Terminal Seksyen 17
T7568,2025-12-01,2025-12,0.8864,T756,Kemuning Business Park ~ Hentian Bandar via Taman Muda
T7740,2025-12-01,2025-12,0.6274,T774,"Stesen LRT Glenmarie ~ MSU, Stadium Shah Alam"
T7760,2025-12-01,2025-12,0.7488,T776,Stesen LRT USJ 7 ~ Subang Mewah
