route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI,route_short_name,route_long_name
P1020,2026-07,13,10,3,0,0.0988816951147734,0.769230769230769,0.6932,P102,Presint 11 ~ Kompleks E
P1060,2026-07,11,10,0,1,0.0227272727272727,0.909090909090909,0.8884,P106,Presint 4 ~ Kompleks E
P1080,2026-07,47,43,4,0,0.0727868999168549,0.914893617021277,0.8483,P108,Terminal Putrajaya Sentral ~ Kompleks ABCDE
S6060,2026-07,15,0,15,0,0.419069462647444,0,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-07,81,71,5,5,0.322485019569288,0.876543209876543,0.5939,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-07,74,71,1,2,0.0651673174563614,0.959459459459459,0.8969,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2220,2026-07,21,17,4,0,0.0660423854115328,0.80952380952381,0.7561,T222,Stesen LRT Sri Rampai ~ UKAY Perdana
T2230,2026-07,118,114,4,0,0.00502433893205665,0.966101694915254,0.9612,T223,"Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat"
T2500,2026-07,68,62,4,2,0.027700681323314,0.911764705882353,0.8865,T250,Stesen LRT Wangsa Maju ~ Setapak Sentral
T2510,2026-07,129,109,18,2,0.0946801080961527,0.844961240310077,0.765,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3008,2026-07,73,70,0,3,0.78363628419085,0.958904109589041,0.2075,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3018,2026-07,317,305,11,1,0.0296941566419949,0.962145110410095,0.9336,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2026-07,112,98,10,4,0.0601816983628347,0.875,0.8223,T302,Hutan Lipur Ampang ~ Ampang Point
T3048,2026-07,49,36,8,5,0.40386111041421,0.73469387755102,0.438,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T3500,2026-07,140,118,19,3,0.0989528091736117,0.842857142857143,0.7595,T350,Stesen LRT Cempaka ~ Taman Mawar
T3510,2026-07,20,17,1,2,2.63643410852713,0.85,0,T351,Stesen LRT Cempaka ~ Taman Bukit Permai
T4068,2026-07,107,101,5,1,0.116240229741987,0.94392523364486,0.8342,T406,Cheras Batu 10 ~ Pangsun
T5718,2026-07,145,122,16,7,0.122290238691052,0.841379310344828,0.7385,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5800,2026-07,95,82,4,9,0.368144635370799,0.863157894736842,0.5454,T580,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil
T5810,2026-07,17,15,2,0,0.0847793155684087,0.882352941176471,0.8075,T581,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil
T6000,2026-07,265,195,68,2,0.147869518394041,0.735849056603774,0.627,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2026-07,156,150,6,0,0.0138001764071875,0.961538461538461,0.9483,T601,Puchong Utama ~ Puchong Prima
T6030,2026-07,46,40,5,1,0.0211986535068631,0.869565217391304,0.8511,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2026-07,294,282,9,3,0.0507575281651897,0.959183673469388,0.9105,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2026-07,50,49,1,0,0.0137717818999438,0.98,0.9665,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
T6400,2026-07,313,276,29,8,0.112276583247149,0.881789137380192,0.7828,T640,Stesen LRT Taman Jaya ~ Taman Sri Sentosa
T7158,2026-07,49,40,9,0,0.0443766968041209,0.816326530612245,0.7801,T715,UiTM Puncak Alam ~ Bandar Puncak Alam
T7548,2026-07,111,106,2,3,14.1029915446728,0.954954954954955,0,T754,Hentian Bandar Shah Alam ~ Terminal Seksyen 17
T7568,2026-07,24,22,2,0,0.0483525887890458,0.916666666666667,0.8723,T756,Kemuning Business Park ~ Hentian Bandar via Taman Muda
T7740,2026-07,67,64,0,3,0.13673697821524,0.955223880597015,0.8246,T774,"Stesen LRT Glenmarie ~ MSU, Stadium Shah Alam"
T7760,2026-07,60,59,0,1,0.115484710474951,0.983333333333333,0.8698,T776,Stesen LRT USJ 7 ~ Subang Mewah
T7860,2026-07,79,77,0,2,0.233069922066598,0.974683544303798,0.7475,T786,Stesen LRT Asia Jaya ~ Stesen MRT Phileo Damansara
T7870,2026-07,149,142,7,0,0.00485884065973779,0.953020134228188,0.9484,T787,Stesen LRT Asia Jaya ~ Seksyen 14 & 18
T7880,2026-07,1,1,0,0,0,1,1,T788,Stesen LRT Universiti ~ Mid Valley
T7890,2026-07,180,179,0,1,0.0049867374005305,0.994444444444444,0.9895,T789,Stesen LRT Universiti ~ Universiti Malaya via Pantai Hillpark
T7900,2026-07,12,9,2,1,0.0425531914893617,0.75,0.7181,T790,Stesen LRT Paramount ~ Mid Valley
T7910,2026-07,176,173,2,1,0.014930518955961,0.982954545454545,0.9683,T791,Stesen LRT Kerinchi ~ Pantai Hill Park
T8500,2026-07,13,11,0,2,0.138740661686233,0.846153846153846,0.7288,T850,Stesen LRT Bangsar ~ Stesen MRT Semantan
U1510,2026-07,141,101,36,4,0.104238276048722,0.716312056737589,0.6416,151,Bandar Baru Selayang ~ Hab Pasar Seni
U1710,2026-07,318,299,9,10,0.139644790111222,0.940251572327044,0.809,171,Hab Wira Damai ~ Lebuh Ampang via Sentul
U1730,2026-07,238,230,1,7,0.106968979975044,0.966386554621849,0.863,173,Taman Jasa Utama ~ Lebuh Ampang
U1800,2026-07,298,261,37,0,0.0866143750560564,0.875838926174497,0.8,180,Taman Dato' Senu ~ Hab Pasar Seni
U1900,2026-07,193,186,6,1,0.0583852634476188,0.963730569948187,0.9075,190,Desa Sri Hartamas ~ Lin Ho Jln Lekiu
U2000,2026-07,184,179,0,5,0.40586437178443,0.972826086956522,0.578,200,UIA Gombak ~ SOGO KL
U2018,2026-07,58,56,2,0,0.0141020715111391,0.96551724137931,0.9519,201,Batu 12 Gombak – SOGO KL
U2020,2026-07,523,462,51,10,0.116966643084991,0.883365200764818,0.78,202,Hub Wira Damai ~ Lebuh Ampang via Gombak
U2200,2026-07,379,353,12,14,0.390913666963986,0.931398416886544,0.5673,220,Taman Melawati ~ Lebuh Ampang
U2220,2026-07,148,132,11,5,0.117927875398261,0.891891891891892,0.7867,222,Taman Melawati ~ Stesen LRT Wangsa Maju
U2500,2026-07,220,210,6,4,0.102195211993546,0.954545454545455,0.857,250,Stesen LRT Wangsa Maju ~ Lebuh Ampang
U2510,2026-07,132,130,0,2,0.145212378945256,0.984848484848485,0.8418,251,AU3 Jentayu ~ Chow Kit
U2538,2026-07,279,250,22,7,0.350071842471678,0.896057347670251,0.5824,253,Stesen LRT Wangsa Maju ~ Ampang Point
U2548,2026-07,82,71,8,3,0.230726194358551,0.865853658536585,0.6661,254,Ayer Panas ~ Titiwangsa via Chowkit
U3000,2026-07,66,62,1,3,1.70415117194111,0.939393939393939,0,300,Terminal Maluri ~ Lebuh Ampang
U3020,2026-07,282,268,12,2,0.0748544101794802,0.950354609929078,0.8792,302,Titiwangsa ~ KLCC
U3030,2026-07,603,589,0,14,0.0680942713380705,0.976782752902156,0.9103,303,Taman Mulia Jaya ~ Lebuh Ampang
U4000,2026-07,54,52,0,2,0.3116840006556,0.962962962962963,0.6628,400,Damai Perdana ~ Hab Pasar Seni via Bukit Bintang
U4200,2026-07,74,71,0,3,0.852199079292087,0.959459459459459,0.1418,420,Hentian Taman Dagang ~ Menara Maybank via Bukit Bintang
U4210,2026-07,184,154,23,7,0.251799023723304,0.836956521739131,0.6262,421,Hentian Taman Dagang ~ Menara Maybank via Bukit Bintang
U4500,2026-07,409,366,39,4,0.0459752035549778,0.894865525672372,0.8537,450,Hentian Kajang ~ Hab Pasar Seni
U5410,2026-07,65,59,3,3,0.655494281045752,0.907692307692308,0.3127,541,Stesen MRT Taman Equine ~ Stesen LRT BK 5
U5800,2026-07,146,141,0,5,0.511391028828936,0.965753424657534,0.4719,580,Desa Petaling ~ Pasar Seni via Stesen LRT Salak Selatan
U5810,2026-07,70,47,18,5,0.225533068617715,0.671428571428571,0.52,581,Desa Tasik ~ Stesen LRT Bandar Tasik Selatan
U5900,2026-07,353,336,4,13,0.32858432547053,0.951841359773371,0.6391,590,Bandar Sungai Long ~ Hab Pasar Seni
U6000,2026-07,1345,1003,337,5,0.166702624119353,0.745724907063197,0.6214,600,Puchong Utama ~ Hab Pasar Seni
U6400,2026-07,1082,991,86,5,0.0666832449122021,0.915896487985213,0.8548,640,Hab Bas Sri Manja ~ Hab Pasar Seni
U6418,2026-07,127,111,13,3,0.142626661989298,0.874015748031496,0.7494,641,Stesen LRT Subang Jaya ~ Pearl Point
U6500,2026-07,303,271,30,2,0.0715552331500916,0.894389438943895,0.8304,650,Taman Desa ~ Hab Pasar Seni
U6510,2026-07,150,127,15,8,0.331418449778685,0.846666666666667,0.5661,651,Stesen LRT Muhibbah ~Pearl Point
U6520,2026-07,19,17,1,1,0.0284218399401646,0.894736842105263,0.8693,652,Stesen LRT Awan Besar ~Batu 3 Jalan Klang Lama
U7508,2026-07,113,110,0,3,0.125596071375843,0.973451327433628,0.8512,750,Hab Sekysen 2 ~ Hab Pasar Seni
U7510,2026-07,166,135,22,9,0.247670974828663,0.813253012048193,0.6118,751,Taman Sri Muda ~ Hab Pasar Seni
U7520,2026-07,192,168,19,5,0.0706916609693214,0.875,0.8131,752,Stesen LRT Putra Height ~ Hentian Bandar Shah Alam
U7538,2026-07,83,80,2,1,0.0109044422358936,0.963855421686747,0.9533,753,Hentian Bandar Shah Alam ~ UiTM Puncak Alam
U7548,2026-07,101,79,15,7,0.189177204300353,0.782178217821782,0.6342,754,LRT Stadium Shah Alam ~ UITM Puncak Perdana
U7700,2026-07,54,44,7,3,0.283378630690067,0.814814814814815,0.5839,770,Subang Mewah USJ 1 ~ Hab Pasar Seni
