route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI,route_short_name,route_long_name
P1010,2026-03,44,40,4,0,0.0131710292579,0.909090909090909,0.8971,P101,Kompleks F ~ Presint 5
P1060,2026-03,29,28,1,0,0.00355029585798816,0.96551724137931,0.9621,P106,Presint 4 ~ Kompleks E
S5010,2026-03,1,1,0,0,0,1,1,MENARA PRASARANA,LRT Lembah Subang ~ Menara Prasarana
S6060,2026-03,23,0,23,0,0.348018953523541,0,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-03,115,97,13,5,0.5254667849188,0.843478260869565,0.4003,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-03,193,184,9,0,0.045882633059012,0.953367875647668,0.9096,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2020,2026-03,200,191,4,5,0.0940358035295261,0.955,0.8652,T202,Stesen LRT Taman Melati ~ Taman Melewar
T2220,2026-03,421,337,68,16,0.190255360478649,0.800475059382423,0.6482,T222,Stesen LRT Sri Rampai ~ UKAY Perdana
T2230,2026-03,54,53,1,0,0.00695443645083933,0.981481481481481,0.9747,T223,"Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat"
T2500,2026-03,17,16,1,0,0.0137844611528822,0.941176470588235,0.9282,T250,Stesen LRT Wangsa Maju ~ Setapak Sentral
T2510,2026-03,78,66,10,2,0.0998822285749278,0.846153846153846,0.7616,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3008,2026-03,124,120,0,4,0.461726651855857,0.967741935483871,0.5209,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3018,2026-03,295,284,11,0,0.0177310151380693,0.96271186440678,0.9456,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2026-03,69,60,8,1,0.0769053931862681,0.869565217391304,0.8027,T302,Hutan Lipur Ampang ~ Ampang Point
T3030,2026-03,45,37,5,3,0.318175678375653,0.822222222222222,0.5606,T303,Ampang Point ~ Stesen LRT Pandan Indah
T3048,2026-03,441,354,63,24,0.422478969794456,0.802721088435374,0.4636,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T3500,2026-03,123,106,16,1,0.132023366498111,0.861788617886179,0.748,T350,Stesen LRT Cempaka ~ Taman Mawar
T3510,2026-03,212,203,5,4,0.175069280809672,0.957547169811321,0.7899,T351,Stesen LRT Cempaka ~ Taman Bukit Permai
T4068,2026-03,360,295,65,0,0.0844556383008526,0.819444444444445,0.7502,T406,Cheras Batu 10 ~ Pangsun
T5718,2026-03,159,133,22,4,0.105011005415325,0.836477987421384,0.7486,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5800,2026-03,173,149,13,11,0.245471986639559,0.861271676300578,0.6499,T580,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil
T5810,2026-03,181,160,20,1,0.0966605190000411,0.883977900552486,0.7985,T581,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil
T6000,2026-03,243,176,67,0,0.15960284912693,0.724279835390947,0.6087,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2026-03,345,333,10,2,0.0198730485952431,0.965217391304348,0.946,T601,Puchong Utama ~ Puchong Prima
T6030,2026-03,49,39,10,0,0.0619391236180657,0.795918367346939,0.7466,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2026-03,276,263,12,1,0.0433917773325212,0.952898550724638,0.9116,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2026-03,151,149,2,0,0.0203928673020737,0.986754966887417,0.9666,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
T6400,2026-03,490,424,54,12,0.193309540287611,0.86530612244898,0.698,T640,Stesen LRT Taman Jaya ~ Taman Sri Sentosa
T7158,2026-03,48,39,8,1,0.0621722693444026,0.8125,0.762,T715,UiTM Puncak Alam ~ Bandar Puncak Alam
