route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI
T100,2026-03,136,132,1,3,0.0155787413041333,0.970588235294118,0.9555
T101,2026-03,264,240,20,4,0.0503576387742849,0.909090909090909,0.8633
T102,2026-03,233,221,9,3,0.0430198862398592,0.948497854077253,0.9077
T103,2026-03,546,499,41,6,0.0313488874336679,0.913919413919414,0.8853
T104,2026-03,56,54,0,2,0.0606893631750388,0.964285714285714,0.9058
T105,2026-03,226,215,10,1,0.0157028786077694,0.951327433628319,0.9364
T106,2026-03,177,171,4,2,0.0171144933174224,0.966101694915254,0.9496
T107,2026-03,129,126,1,2,0.0131419908790722,0.976744186046512,0.9639
T108,2026-03,351,314,37,0,0.106474180822436,0.894586894586895,0.7993
T109,2026-03,306,278,23,5,0.0942113809143253,0.908496732026144,0.8229
T110,2026-03,190,173,17,0,0.0379302483775555,0.910526315789474,0.876
T114,2026-03,413,342,63,8,0.0684875618603684,0.828087167070218,0.7714
T115,2026-03,308,279,29,0,0.0173030551045233,0.905844155844156,0.8902
T117,2026-03,175,175,0,0,0,1,1
T121,2026-03,104,102,2,0,0.0054054054054054,0.980769230769231,0.9755
T152,2026-03,370,314,56,0,0.0367716616308167,0.848648648648649,0.8174
T154,2026-03,174,160,13,1,0.0342716256394545,0.919540229885057,0.888
T180,2026-03,350,336,10,4,0.0350840776254632,0.96,0.9263
T305,2026-03,474,429,36,9,0.146103358392532,0.905063291139241,0.7728
T352,2026-03,648,541,102,5,0.0788750050230711,0.834876543209877,0.769
T400,2026-03,401,388,11,2,0.0476214242456994,0.967581047381546,0.9215
T401,2026-03,135,128,5,2,0.0355857757476345,0.948148148148148,0.9144
T402,2026-03,354,337,17,0,0.0139920964097979,0.951977401129944,0.9387
T407,2026-03,27,23,4,0,0.145919518616021,0.851851851851852,0.7276
T408,2026-03,262,237,25,0,0.0518969757496632,0.904580152671756,0.8576
T409,2026-03,384,374,9,1,0.0141569188987011,0.973958333333333,0.9602
T410,2026-03,292,210,76,6,0.217607429561682,0.719178082191781,0.5627
T411,2026-03,204,200,2,2,0.028965353445612,0.980392156862745,0.952
T412,2026-03,315,310,4,1,0.00154650688504882,0.984126984126984,0.9826
T413,2026-03,296,293,1,2,0.0105419880067248,0.989864864864865,0.9794
T414,2026-03,351,327,15,9,0.0742419410931577,0.931623931623932,0.8625
T415,2026-03,160,126,31,3,0.175154981863179,0.7875,0.6496
T416,2026-03,320,297,19,4,0.103013776234901,0.928125,0.8325
T417,2026-03,521,508,7,6,0.016297307883148,0.975047984644914,0.9592
T418,2026-03,111,92,19,0,0.0448499730308174,0.828828828828829,0.7917
T419,2026-03,190,160,23,7,0.167752919836256,0.842105263157895,0.7008
T451,2026-03,420,346,71,3,0.0823364396395693,0.823809523809524,0.756
T453,2026-03,440,391,47,2,0.0839812499129545,0.888636363636364,0.814
T455,2026-03,191,188,2,1,0.020502485432067,0.984293193717278,0.9641
T457,2026-03,357,341,15,1,0.0264242904288664,0.955182072829132,0.9299
T458,2026-03,336,305,31,0,0.0209045840569657,0.907738095238095,0.8888
T459,2026-03,184,158,25,1,0.0252783951762784,0.858695652173913,0.837
T460,2026-03,493,441,48,4,0.0248413014789714,0.894523326572008,0.8723
T461,2026-03,303,283,17,3,0.0852253414308201,0.933993399339934,0.8544
T462,2026-03,222,211,11,0,0.0122971286140992,0.95045045045045,0.9388
T463,2026-03,222,215,6,1,0.0322164389597356,0.968468468468468,0.9373
T464,2026-03,278,237,40,1,0.0850177463946265,0.852517985611511,0.78
T465,2026-03,55,46,9,0,0.0966225814036764,0.836363636363636,0.7556
T504,2026-03,125,114,10,1,0.0219886750359992,0.912,0.8919
T505,2026-03,91,82,9,0,0.0222747447116516,0.901098901098901,0.881
T506,2026-03,47,43,4,0,0.0118207990410651,0.914893617021277,0.9041
T507,2026-03,194,188,5,1,0.0252593889715171,0.969072164948454,0.9446
T509,2026-03,332,288,44,0,0.0662332822363223,0.867469879518072,0.81
T511,2026-03,443,395,45,3,0.0997050464966186,0.891647855530474,0.8027
T543,2026-03,393,343,48,2,0.0398144858796507,0.872773536895674,0.838
T544,2026-03,110,103,5,2,0.07301176636657,0.936363636363636,0.868
T545,2026-03,32,25,6,1,0.178892010594709,0.78125,0.6415
T559,2026-03,136,111,22,3,0.0986133971471284,0.816176470588235,0.7357
T560,2026-03,317,294,22,1,0.0389906144240709,0.927444794952681,0.8913
T561,2026-03,322,315,6,1,0.0255562622601084,0.978260869565217,0.9533
T565,2026-03,224,205,16,3,0.0403430569638124,0.915178571428571,0.8783
T566,2026-03,366,352,11,3,0.0416328141116875,0.961748633879781,0.9217
T567,2026-03,172,160,11,1,0.014102371047318,0.930232558139535,0.9171
T568,2026-03,242,205,35,2,0.0566811600654185,0.847107438016529,0.7991
T569,2026-03,85,75,9,1,0.0925172796036923,0.882352941176471,0.8007
T585,2026-03,151,143,4,4,0.0380807151818106,0.947019867549669,0.911
T586,2026-03,287,271,16,0,0.0199242463002882,0.944250871080139,0.9254
T587,2026-03,246,241,2,3,0.00849746587344957,0.979674796747967,0.9714
T588,2026-03,299,276,18,5,0.0614501611056851,0.923076923076923,0.8664
T589,2026-03,76,70,6,0,0.0522358526052761,0.921052631578947,0.8729
T772,2026-03,320,262,55,3,0.110991926854751,0.81875,0.7279
T801,2026-03,274,268,3,3,0.1201779899215,0.978102189781022,0.8606
T802,2026-03,258,252,3,3,0.109609534373152,0.976744186046512,0.8697
T803,2026-03,445,416,26,3,0.0488434319441927,0.934831460674157,0.8892
T804,2026-03,71,57,14,0,0.0200828846304354,0.802816901408451,0.7867
T805,2026-03,240,225,13,2,0.0598081942556768,0.9375,0.8814
T807,2026-03,549,512,33,4,0.0294459148382029,0.932604735883424,0.9051
T808,2026-03,150,140,9,1,0.0350641870076016,0.933333333333333,0.9006
T809,2026-03,373,355,18,0,0.0106227133074943,0.951742627345844,0.9416
T810,2026-03,401,343,46,12,0.129328949445075,0.855361596009975,0.7447
T811,2026-03,212,198,13,1,0.0451522844971104,0.933962264150943,0.8918
T812,2026-03,138,128,10,0,0.0846838384576807,0.927536231884058,0.849
T813,2026-03,403,383,16,4,0.0137163672125302,0.950372208436725,0.9373
T814,2026-03,137,131,2,4,0.0154585614000276,0.956204379562044,0.9414
T815,2026-03,291,271,15,5,0.0615960266114402,0.93127147766323,0.8739
T816,2026-03,173,152,21,0,0.0206698640770908,0.878612716763006,0.8605
T817,2026-03,114,108,4,2,0.141720465313877,0.947368421052632,0.8131
T818,2026-03,305,287,14,4,0.0737976326698506,0.940983606557377,0.8715
T821,2026-03,158,138,20,0,0.0816285026545442,0.873417721518987,0.8021
T852,2026-03,917,805,103,9,0.0597053263457723,0.877862595419847,0.8254
