route_id,date,month,BPI
T565,2026-01-05,2026-01,0.8859
T566,2026-01-05,2026-01,0.7629
T567,2026-01-05,2026-01,0.942
T568,2026-01-05,2026-01,0.6926
T569,2026-01-05,2026-01,0.8306
T585,2026-01-05,2026-01,0.9578
T586,2026-01-05,2026-01,0.956
T587,2026-01-05,2026-01,0.94
T588,2026-01-05,2026-01,0.9556
T589,2026-01-05,2026-01,0.874
T772,2026-01-05,2026-01,0.7016
T801,2026-01-05,2026-01,0.1674
T802,2026-01-05,2026-01,0.8083
T803,2026-01-05,2026-01,0.7259
T805,2026-01-05,2026-01,0.832
T807,2026-01-05,2026-01,0.8448
T808,2026-01-05,2026-01,0.9338
T809,2026-01-05,2026-01,0.9606
T810,2026-01-05,2026-01,0.7259
T811,2026-01-05,2026-01,0.9153
T812,2026-01-05,2026-01,0.7682
T813,2026-01-05,2026-01,0.8437
T814,2026-01-05,2026-01,1
T815,2026-01-05,2026-01,0.8376
T816,2026-01-05,2026-01,0.8145
T817,2026-01-05,2026-01,0.6252
T818,2026-01-05,2026-01,0.781
T821,2026-01-05,2026-01,0
T852,2026-01-05,2026-01,0.8723
T100,2026-01-06,2026-01,0.9864
T101,2026-01-06,2026-01,0.8866
T102,2026-01-06,2026-01,0.7477
T103,2026-01-06,2026-01,0.9271
T104,2026-01-06,2026-01,0.5304
T105,2026-01-06,2026-01,0.9589
T106,2026-01-06,2026-01,0.9266
T107,2026-01-06,2026-01,0.949
T108,2026-01-06,2026-01,0.8322
T109,2026-01-06,2026-01,0.8265
T110,2026-01-06,2026-01,0.9046
T114,2026-01-06,2026-01,0.8113
T115,2026-01-06,2026-01,0.8738
T117,2026-01-06,2026-01,1
T121,2026-01-06,2026-01,0.9658
T152,2026-01-06,2026-01,0.8588
T154,2026-01-06,2026-01,0.8857
T180,2026-01-06,2026-01,0.9622
T305,2026-01-06,2026-01,0
T352,2026-01-06,2026-01,0.6276
T400,2026-01-06,2026-01,0.9715
T401,2026-01-06,2026-01,0.8878
T402,2026-01-06,2026-01,0
T407,2026-01-06,2026-01,0.3471
T408,2026-01-06,2026-01,0.8576
T409,2026-01-06,2026-01,0.9265
T410,2026-01-06,2026-01,0.5804
T411,2026-01-06,2026-01,0.9618
T412,2026-01-06,2026-01,0.9883
T413,2026-01-06,2026-01,0.9568
T414,2026-01-06,2026-01,0.8553
T415,2026-01-06,2026-01,0.6209
T416,2026-01-06,2026-01,0.1006
T417,2026-01-06,2026-01,0.9224
T418,2026-01-06,2026-01,0.9038
T419,2026-01-06,2026-01,0.6632
T451,2026-01-06,2026-01,0.7916
T453,2026-01-06,2026-01,0.7917
T455,2026-01-06,2026-01,0.885
T457,2026-01-06,2026-01,0.886
T458,2026-01-06,2026-01,0.904
T459,2026-01-06,2026-01,0.8737
T460,2026-01-06,2026-01,0.907
T461,2026-01-06,2026-01,0
T462,2026-01-06,2026-01,0.9544
T463,2026-01-06,2026-01,0.9278
T464,2026-01-06,2026-01,0.767
T465,2026-01-06,2026-01,0.8038
T505,2026-01-06,2026-01,0.8734
T507,2026-01-06,2026-01,0.9382
T509,2026-01-06,2026-01,0.781
T511,2026-01-06,2026-01,0.6178
T543,2026-01-06,2026-01,0.8639
T544,2026-01-06,2026-01,0.2968
T559,2026-01-06,2026-01,0.6895
T560,2026-01-06,2026-01,0.8697
T561,2026-01-06,2026-01,0.9681
T565,2026-01-06,2026-01,0.9024
T566,2026-01-06,2026-01,0.9284
T567,2026-01-06,2026-01,0.9109
T568,2026-01-06,2026-01,0.6495
T569,2026-01-06,2026-01,0.7936
T585,2026-01-06,2026-01,0.8512
T586,2026-01-06,2026-01,0.9462
T587,2026-01-06,2026-01,0.9552
T588,2026-01-06,2026-01,0.8652
T589,2026-01-06,2026-01,0.8734
T772,2026-01-06,2026-01,0.7348
T801,2026-01-06,2026-01,0.1507
T802,2026-01-06,2026-01,0.3559
T803,2026-01-06,2026-01,0.8768
T805,2026-01-06,2026-01,0.9083
T807,2026-01-06,2026-01,0.9316
T808,2026-01-06,2026-01,0.8777
T809,2026-01-06,2026-01,0.9273
T810,2026-01-06,2026-01,0.7879
T811,2026-01-06,2026-01,0.8661
T812,2026-01-06,2026-01,0.7836
T813,2026-01-06,2026-01,0.9426
T814,2026-01-06,2026-01,0.9665
T815,2026-01-06,2026-01,0.8401
T816,2026-01-06,2026-01,0.8118
T817,2026-01-06,2026-01,0.8297
T818,2026-01-06,2026-01,0.8259
T821,2026-01-06,2026-01,0.7865
T852,2026-01-06,2026-01,0.8568
T100,2026-01-08,2026-01,0.9526
T101,2026-01-08,2026-01,0.8375
T102,2026-01-08,2026-01,0.9032
T103,2026-01-08,2026-01,0.9135
T104,2026-01-08,2026-01,0.8772
T105,2026-01-08,2026-01,0.9191
T106,2026-01-08,2026-01,0.9538
T107,2026-01-08,2026-01,1
T108,2026-01-08,2026-01,0.8303
T109,2026-01-08,2026-01,0.5829
T110,2026-01-08,2026-01,0.883
T114,2026-01-08,2026-01,0.7749
T115,2026-01-08,2026-01,0.8803
T117,2026-01-08,2026-01,0.9879
T121,2026-01-08,2026-01,0.9194
T152,2026-01-08,2026-01,0.841
T154,2026-01-08,2026-01,0.8752
T180,2026-01-08,2026-01,0.9277
T305,2026-01-08,2026-01,0.7484
T352,2026-01-08,2026-01,0.7507
T400,2026-01-08,2026-01,0.9766
T401,2026-01-08,2026-01,0.9535
T402,2026-01-08,2026-01,0
T408,2026-01-08,2026-01,0.7198
T409,2026-01-08,2026-01,0.9338
T410,2026-01-08,2026-01,0.4981
T411,2026-01-08,2026-01,0.9658
T412,2026-01-08,2026-01,0.9533
T413,2026-01-08,2026-01,0.9903
T414,2026-01-08,2026-01,0.8617
T415,2026-01-08,2026-01,0.6886
T416,2026-01-08,2026-01,0.8246
T417,2026-01-08,2026-01,0.8722
T418,2026-01-08,2026-01,0.8804
T419,2026-01-08,2026-01,0.633
T451,2026-01-08,2026-01,0.8037
T453,2026-01-08,2026-01,0.8271
T455,2026-01-08,2026-01,0.9272
T457,2026-01-08,2026-01,0.9402
T458,2026-01-08,2026-01,0.8888
T459,2026-01-08,2026-01,0.9279
T460,2026-01-08,2026-01,0.9202
T461,2026-01-08,2026-01,0.8899
T462,2026-01-08,2026-01,0.9028
T463,2026-01-08,2026-01,0.9333
T464,2026-01-08,2026-01,0.818
T465,2026-01-08,2026-01,0.7647
T505,2026-01-08,2026-01,1
T506,2026-01-08,2026-01,0.8717
T509,2026-01-08,2026-01,0.7807
T511,2026-01-08,2026-01,0.7778
T543,2026-01-08,2026-01,0.8969
T544,2026-01-08,2026-01,0.8018
T559,2026-01-08,2026-01,0.7774
T560,2026-01-08,2026-01,0.8531
T561,2026-01-08,2026-01,0.9613
T565,2026-01-08,2026-01,0.9334
T566,2026-01-08,2026-01,0.9231
T567,2026-01-08,2026-01,0.8831
T568,2026-01-08,2026-01,0.7769
T569,2026-01-08,2026-01,0.8639
T585,2026-01-08,2026-01,0.9466
T586,2026-01-08,2026-01,0.949
T587,2026-01-08,2026-01,0.9732
T588,2026-01-08,2026-01,0.5052
T589,2026-01-08,2026-01,0.9126
T772,2026-01-08,2026-01,0.7729
T801,2026-01-08,2026-01,0
