route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI
T100,2026-06,75,73,1,1,0.00682925435400683,0.973333333333333,0.9667
T101,2026-06,240,224,9,7,0.113506881106047,0.933333333333333,0.8274
T102,2026-06,259,249,6,4,0.0779963414998534,0.961389961389961,0.8864
T103,2026-06,355,333,15,7,0.150258502572033,0.938028169014084,0.7971
T104,2026-06,40,36,3,1,0.127501102305231,0.9,0.7852
T105,2026-06,216,208,6,2,0.095715910371905,0.962962962962963,0.8708
T106,2026-06,210,200,10,0,0.0154075543645012,0.952380952380952,0.9377
T107,2026-06,166,164,0,2,0.0472784962580881,0.987951807228916,0.9412
T108,2026-06,144,132,11,1,0.170337916120398,0.916666666666667,0.7605
T109,2026-06,260,242,13,5,0.100134305126471,0.930769230769231,0.8376
T110,2026-06,180,159,21,0,0.0238194513553442,0.883333333333333,0.8623
T114,2026-06,235,205,23,7,0.180806829023069,0.872340425531915,0.7146
T115,2026-06,205,180,25,0,0.036361054677268,0.878048780487805,0.8461
T117,2026-06,97,97,0,0,0,1,1
T121,2026-06,110,107,2,1,0.0115801737420966,0.972727272727273,0.9615
T152,2026-06,358,317,37,4,0.0723347368100245,0.885474860335196,0.8214
T154,2026-06,214,193,19,2,0.025075399985073,0.901869158878505,0.8793
T180,2026-06,224,213,9,2,0.0674349744840284,0.950892857142857,0.8868
T305,2026-06,165,144,17,4,0.140272682879086,0.872727272727273,0.7503
T352,2026-06,272,222,45,5,0.0948311049945813,0.816176470588235,0.7388
T400,2026-06,203,193,8,2,0.0665100485328417,0.950738916256158,0.8875
T401,2026-06,130,117,10,3,0.0566412365930981,0.9,0.849
T402,2026-06,171,165,5,1,0.142421320543083,0.964912280701754,0.8275
T407,2026-06,109,96,10,3,0.220162199958502,0.880733944954129,0.6868
T408,2026-06,183,166,16,1,0.0513601007912533,0.907103825136612,0.8605
T409,2026-06,273,260,13,0,0.030714793021141,0.952380952380952,0.9231
T410,2026-06,186,132,50,4,0.17253597549652,0.709677419354839,0.5872
T411,2026-06,234,227,5,2,0.0414183031683604,0.97008547008547,0.9299
T412,2026-06,236,233,1,2,0.0125268820458014,0.98728813559322,0.9749
