route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI,route_short_name,route_long_name
P1010,2025-12,119,114,3,2,2.63611175083263,0.957983193277311,0,P101,Kompleks F ~ Presint 5
P1020,2025-12,229,156,71,2,0.0838363360925106,0.681222707423581,0.6241,P102,Presint 11 ~ Kompleks E
P1030,2025-12,289,222,51,16,0.417895258967867,0.768166089965398,0.4472,P103,Presint 14 via Alamanda ~ Kompleks E
P1040,2025-12,73,67,0,6,1.14827247889124,0.917808219178082,0,P104,Dataran Gemilang ~ PICC via Presint 5
P1050,2025-12,31,29,0,2,0.651948695426956,0.935483870967742,0.3256,P105,Dataran Gemilang ~ Kompleks ABCDE
P1060,2025-12,221,210,5,6,0.933176102608859,0.950226244343891,0.0635,P106,Presint 4 ~ Kompleks E
P1080,2025-12,159,144,11,4,0.105072895818326,0.905660377358491,0.8105,P108,Terminal Putrajaya Sentral ~ Kompleks ABCDE
S5010,2025-12,1,1,0,0,0,1,1,MENARA PRASARANA,LRT Lembah Subang ~ Menara Prasarana
S6060,2025-12,19,0,19,0,0.341713332539021,0,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2025-12,98,77,18,3,0.322025505224677,0.785714285714286,0.5327,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2025-12,264,249,14,1,0.0649206664663093,0.943181818181818,0.8819,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2020,2025-12,141,129,6,6,0.220773315180422,0.914893617021277,0.7129,T202,Stesen LRT Taman Melati ~ Taman Melewar
T2220,2025-12,316,251,54,11,0.200413944095179,0.794303797468355,0.6351,T222,Stesen LRT Sri Rampai ~ UKAY Perdana
T2230,2025-12,93,91,2,0,0.00518132587674639,0.978494623655914,0.9734,T223,"Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat"
T2240,2025-12,69,54,14,1,3.8412510373057,0.782608695652174,0,T224,Stesen LRT Dato Keramat ~ Desa Pandan
T2500,2025-12,105,96,8,1,0.0447745688759609,0.914285714285714,0.8733,T250,Stesen LRT Wangsa Maju ~ Setapak Sentral
T2510,2025-12,64,47,7,10,0.583474983688943,0.734375,0.3059,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3008,2025-12,250,240,0,10,0.945359388268711,0.96,0.0525,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3018,2025-12,277,261,16,0,0.0250210256611038,0.942238267148014,0.9187,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2025-12,243,208,30,5,0.0508312269481216,0.8559670781893,0.8125,T302,Hutan Lipur Ampang ~ Ampang Point
T3030,2025-12,74,62,8,4,0.156143326811259,0.837837837837838,0.707,T303,Ampang Point ~ Stesen LRT Pandan Indah
T3048,2025-12,137,110,17,10,0.44083863041911,0.802919708029197,0.449,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T3500,2025-12,336,265,58,13,0.199919336642796,0.788690476190476,0.631,T350,Stesen LRT Cempaka ~ Taman Mawar
T3510,2025-12,133,120,10,3,0.118439397592218,0.902255639097744,0.7954,T351,Stesen LRT Cempaka ~ Taman Bukit Permai
T4068,2025-12,204,171,33,0,0.0641837514089118,0.838235294117647,0.7844,T406,Cheras Batu 10 ~ Pangsun
T5718,2025-12,177,150,21,6,0.123329160870308,0.847457627118644,0.7429,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5800,2025-12,158,131,15,12,0.235804969577237,0.829113924050633,0.6336,T580,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil
T5810,2025-12,67,60,6,1,0.127475327695472,0.895522388059702,0.7814,T581,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil
T6000,2025-12,324,236,87,1,0.15271436676791,0.728395061728395,0.6172,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2025-12,294,283,10,1,0.0184468055719466,0.962585034013605,0.9448,T601,Puchong Utama ~ Puchong Prima
T6030,2025-12,78,65,12,1,0.0499476172096624,0.833333333333333,0.7917,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2025-12,147,140,6,1,0.0255027489680175,0.952380952380952,0.9281,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2025-12,24,24,0,0,0,1,1,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
