route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI
T100,2026-02,101,97,2,2,0.0153865281772259,0.96039603960396,0.9456
T101,2026-02,147,135,9,3,0.061599977109959,0.918367346938776,0.8618
T102,2026-02,223,213,5,5,0.0841120566218758,0.955156950672646,0.8748
T103,2026-02,287,266,16,5,0.0365576080948734,0.926829268292683,0.8929
T104,2026-02,62,58,1,3,0.0903004621600053,0.935483870967742,0.851
T105,2026-02,249,241,6,2,0.0493005671295326,0.967871485943775,0.9202
T106,2026-02,179,173,4,2,0.00601839483707685,0.966480446927374,0.9607
T107,2026-02,120,119,0,1,0.0104637157482686,0.991666666666667,0.9813
T108,2026-02,319,288,23,8,0.119233967474245,0.90282131661442,0.7952
T109,2026-02,211,188,19,4,0.102800800599837,0.890995260663507,0.7994
T110,2026-02,128,120,6,2,0.0613812125506316,0.9375,0.88
T114,2026-02,461,392,64,5,0.0526282654945434,0.850325379609545,0.8056
T115,2026-02,180,161,19,0,0.0281903217252836,0.894444444444445,0.8692
T117,2026-02,123,123,0,0,0,1,1
T121,2026-02,68,65,2,1,0.00671893124723313,0.955882352941176,0.9495
T152,2026-02,201,172,27,2,0.0440030021107908,0.855721393034826,0.8181
T154,2026-02,190,168,21,1,0.0264461110134253,0.884210526315789,0.8608
T180,2026-02,118,113,4,1,0.0126616770972965,0.957627118644068,0.9455
T305,2026-02,258,232,24,2,0.110842154607576,0.89922480620155,0.7996
T352,2026-02,313,255,54,4,0.0751550562872372,0.814696485623003,0.7535
T400,2026-02,206,199,6,1,0.0283229566666044,0.966019417475728,0.9387
T401,2026-02,232,218,13,1,0.0503832339917693,0.939655172413793,0.8923
T402,2026-02,555,535,18,2,0.0852516027183876,0.963963963963964,0.8818
T407,2026-02,100,85,13,2,0.194916840972132,0.85,0.6843
T408,2026-02,346,311,34,1,0.0364613326335422,0.898843930635838,0.8661
T409,2026-02,376,362,13,1,0.00829948523019459,0.962765957446809,0.9548
T410,2026-02,253,177,74,2,0.158305472108051,0.699604743083004,0.5889
T411,2026-02,191,187,4,0,0.0204282534080105,0.979057591623037,0.9591
T412,2026-02,340,333,3,4,0.00668999544028722,0.979411764705882,0.9729
T413,2026-02,213,208,5,0,0.00358946663840807,0.976525821596244,0.973
T414,2026-02,232,212,15,5,0.077326223658034,0.913793103448276,0.8431
T415,2026-02,88,72,15,1,0.215558005465818,0.818181818181818,0.6418
T416,2026-02,230,216,11,3,0.160743330622983,0.939130434782609,0.7882
T417,2026-02,418,408,5,5,0.0431160473818623,0.976076555023923,0.934
T418,2026-02,196,175,20,1,0.0875324531364153,0.892857142857143,0.8147
T419,2026-02,169,147,20,2,0.192363026949306,0.869822485207101,0.7025
T451,2026-02,346,282,60,4,0.0808437485338463,0.815028901734104,0.7491
T453,2026-02,472,421,46,5,0.085313035745065,0.891949152542373,0.8159
T455,2026-02,162,157,0,5,0.045492801515665,0.969135802469136,0.925
T457,2026-02,129,121,7,1,0.0269221074813972,0.937984496124031,0.9127
T458,2026-02,208,187,19,2,0.0257876267788059,0.899038461538462,0.8759
T459,2026-02,138,119,17,2,0.0352355651084029,0.86231884057971,0.8319
T460,2026-02,338,309,27,2,0.0433421261601788,0.914201183431953,0.8746
T461,2026-02,165,155,6,4,0.0607743940162943,0.939393939393939,0.8823
T462,2026-02,246,236,7,3,0.0162744712895278,0.959349593495935,0.9437
T463,2026-02,160,154,4,2,0.0331252434282567,0.9625,0.9306
T464,2026-02,247,211,27,9,0.0909576909622529,0.854251012145749,0.7766
T465,2026-02,38,29,9,0,0.0691147645894947,0.763157894736842,0.7104
T504,2026-02,156,146,10,0,0.0132495310458682,0.935897435897436,0.9235
T505,2026-02,23,21,2,0,0.0231296402055968,0.91304347826087,0.8919
T506,2026-02,125,118,7,0,0.0253245468898937,0.944,0.9201
T507,2026-02,135,127,7,1,0.0407680103584909,0.940740740740741,0.9024
T509,2026-02,219,190,27,2,0.0638776880600011,0.867579908675799,0.8122
T511,2026-02,339,300,36,3,0.0971972924560876,0.88495575221239,0.7989
T543,2026-02,216,191,25,0,0.0299124508638815,0.884259259259259,0.8578
T544,2026-02,183,173,6,4,0.0969516377443485,0.945355191256831,0.8537
T545,2026-02,25,16,9,0,0.246662640785781,0.64,0.4821
T559,2026-02,78,64,11,3,0.0963472057098394,0.82051282051282,0.7415
T560,2026-02,272,252,18,2,0.0381360501014051,0.926470588235294,0.8911
T561,2026-02,189,178,11,0,0.0103381746365816,0.941798941798942,0.9321
T565,2026-02,292,270,12,10,0.0604124892283878,0.924657534246575,0.8688
T566,2026-02,36,34,2,0,0.03789592760181,0.944444444444444,0.9087
T567,2026-02,244,229,14,1,0.0180839284965194,0.938524590163934,0.9216
T568,2026-02,257,217,38,2,0.0697763860638122,0.844357976653697,0.7854
T569,2026-02,265,229,27,9,0.0951192149386979,0.864150943396226,0.782
T585,2026-02,104,99,1,4,0.0510952058908753,0.951923076923077,0.9033
T586,2026-02,181,170,9,2,0.0312794063240279,0.939226519337017,0.9098
T587,2026-02,167,162,4,1,0.0342169550520658,0.970059880239521,0.9369
T588,2026-02,143,130,9,4,0.0582230768214965,0.909090909090909,0.8562
T589,2026-02,174,162,11,1,0.0561781076319248,0.931034482758621,0.8787
T772,2026-02,235,195,37,3,0.114951391309072,0.829787234042553,0.7344
T801,2026-02,142,138,1,3,0.103739056287354,0.971830985915493,0.871
T802,2026-02,441,416,15,10,0.0575081198771084,0.943310657596372,0.8891
T803,2026-02,333,309,15,9,0.0534936691232861,0.927927927927928,0.8783
T804,2026-02,4,3,1,0,0.00367647058823528,0.75,0.7472
T805,2026-02,191,180,10,1,0.0513228971459888,0.942408376963351,0.894
T807,2026-02,369,340,21,8,0.057802557548915,0.921409214092141,0.8681
T808,2026-02,116,110,5,1,0.0317276199830478,0.948275862068965,0.9182
T809,2026-02,165,157,7,1,0.0101891053986977,0.951515151515152,0.9418
T810,2026-02,240,203,31,6,0.137086102082659,0.845833333333333,0.7299
T811,2026-02,200,187,13,0,0.0419439308986902,0.935,0.8958
T812,2026-02,156,143,11,2,0.0833721504772652,0.916666666666667,0.8402
T813,2026-02,330,314,14,2,0.0170897684930947,0.951515151515152,0.9353
T814,2026-02,81,78,3,0,0.0160217585324954,0.962962962962963,0.9475
T815,2026-02,601,554,36,11,0.0622551402034595,0.92179700499168,0.8644
T816,2026-02,203,183,14,6,0.0846614060957417,0.901477832512315,0.8252
T817,2026-02,213,194,9,10,0.12947445805893,0.910798122065728,0.7929
T818,2026-02,429,396,24,9,0.0964411302500521,0.923076923076923,0.8341
T821,2026-02,162,144,18,0,0.0802646145034556,0.888888888888889,0.8175
T852,2026-02,1016,915,81,20,0.0822584230092514,0.900590551181102,0.8265
