route_id,date,month,BPI,route_short_name,route_long_name
S6060,2026-06-03,2026-06,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-06-03,2026-06,0,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-06-03,2026-06,0.9091,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2230,2026-06-03,2026-06,0.96,T223,"Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat"
T2510,2026-06-03,2026-06,0,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3008,2026-06-03,2026-06,0,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3018,2026-06-03,2026-06,0.9635,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2026-06-03,2026-06,0.8994,T302,Hutan Lipur Ampang ~ Ampang Point
T3048,2026-06-03,2026-06,0.6283,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T3500,2026-06-03,2026-06,0.4987,T350,Stesen LRT Cempaka ~ Taman Mawar
T4068,2026-06-03,2026-06,1,T406,Cheras Batu 10 ~ Pangsun
T5718,2026-06-03,2026-06,0.7746,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T6000,2026-06-03,2026-06,0.5484,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2026-06-03,2026-06,0.9448,T601,Puchong Utama ~ Puchong Prima
T6030,2026-06-03,2026-06,0.8459,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2026-06-03,2026-06,0.9081,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2026-06-03,2026-06,0.893,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
T6400,2026-06-03,2026-06,0.7746,T640,Stesen LRT Taman Jaya ~ Taman Sri Sentosa
T7158,2026-06-03,2026-06,1,T715,UiTM Puncak Alam ~ Bandar Puncak Alam
T7568,2026-06-03,2026-06,0.895,T756,Kemuning Business Park ~ Hentian Bandar via Taman Muda
