route_id,date,month,BPI,route_short_name,route_long_name
P1010,2026-01-02,2026-01,0,P101,Kompleks F ~ Presint 5
P1020,2026-01-02,2026-01,0.6346,P102,Presint 11 ~ Kompleks E
P1030,2026-01-02,2026-01,0.5293,P103,Presint 14 via Alamanda ~ Kompleks E
P1040,2026-01-02,2026-01,0,P104,Dataran Gemilang ~ PICC via Presint 5
P1050,2026-01-02,2026-01,0,P105,Dataran Gemilang ~ Kompleks ABCDE
P1060,2026-01-02,2026-01,0.6264,P106,Presint 4 ~ Kompleks E
P1080,2026-01-02,2026-01,0.8556,P108,Terminal Putrajaya Sentral ~ Kompleks ABCDE
S5010,2026-01-02,2026-01,1,MENARA PRASARANA,LRT Lembah Subang ~ Menara Prasarana
S6060,2026-01-02,2026-01,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-01-02,2026-01,0.8028,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-01-02,2026-01,0.8906,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2020,2026-01-02,2026-01,0,T202,Stesen LRT Taman Melati ~ Taman Melewar
T2220,2026-01-02,2026-01,0.6343,T222,Stesen LRT Sri Rampai ~ UKAY Perdana
T2230,2026-01-02,2026-01,0.9318,T223,"Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat"
T2240,2026-01-02,2026-01,0,T224,Stesen LRT Dato Keramat ~ Desa Pandan
T2500,2026-01-02,2026-01,0.8681,T250,Stesen LRT Wangsa Maju ~ Setapak Sentral
T2510,2026-01-02,2026-01,0.6219,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3008,2026-01-02,2026-01,0,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3018,2026-01-02,2026-01,0.8923,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2026-01-02,2026-01,0.9061,T302,Hutan Lipur Ampang ~ Ampang Point
T3030,2026-01-02,2026-01,0.737,T303,Ampang Point ~ Stesen LRT Pandan Indah
T3048,2026-01-02,2026-01,0,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T3500,2026-01-02,2026-01,0,T350,Stesen LRT Cempaka ~ Taman Mawar
T3510,2026-01-02,2026-01,0.7884,T351,Stesen LRT Cempaka ~ Taman Bukit Permai
T4068,2026-01-02,2026-01,0.0722,T406,Cheras Batu 10 ~ Pangsun
T5718,2026-01-02,2026-01,0.7757,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5800,2026-01-02,2026-01,0.7411,T580,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil
T5810,2026-01-02,2026-01,0.8009,T581,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil
T6000,2026-01-02,2026-01,0.6588,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2026-01-02,2026-01,0.9467,T601,Puchong Utama ~ Puchong Prima
T6030,2026-01-02,2026-01,0.7836,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2026-01-02,2026-01,0.9149,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2026-01-02,2026-01,1,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
T6400,2026-01-02,2026-01,0.777,T640,Stesen LRT Taman Jaya ~ Taman Sri Sentosa
T7158,2026-01-02,2026-01,0.7534,T715,UiTM Puncak Alam ~ Bandar Puncak Alam
T7538,2026-01-02,2026-01,0.6614,T753,"Hentian Bandar Shah Alam ~ Sekysen 11, 9, 8, 6, 5"
T7548,2026-01-02,2026-01,0,T754,Hentian Bandar Shah Alam ~ Terminal Seksyen 17
T7568,2026-01-02,2026-01,0.8289,T756,Kemuning Business Park ~ Hentian Bandar via Taman Muda
