route_id,date,month,BPI
T100,2026-02-03,2026-02,1
T101,2026-02-03,2026-02,0.8537
T102,2026-02-03,2026-02,0.8604
T103,2026-02-03,2026-02,0.9021
T104,2026-02-03,2026-02,0.821
T105,2026-02-03,2026-02,0.681
T106,2026-02-03,2026-02,0.965
T107,2026-02-03,2026-02,1
T108,2026-02-03,2026-02,0.8337
T109,2026-02-03,2026-02,0.8883
T110,2026-02-03,2026-02,0.8871
T114,2026-02-03,2026-02,0.8144
T115,2026-02-03,2026-02,0.8172
T117,2026-02-03,2026-02,1
T121,2026-02-03,2026-02,1
T152,2026-02-03,2026-02,0.81
T154,2026-02-03,2026-02,0.9141
T180,2026-02-03,2026-02,0.9728
T305,2026-02-03,2026-02,0.8392
T352,2026-02-03,2026-02,0.7825
T400,2026-02-03,2026-02,0.9422
T401,2026-02-03,2026-02,0.8766
T402,2026-02-03,2026-02,0.0387
T408,2026-02-03,2026-02,0.8271
T409,2026-02-03,2026-02,0.9496
T410,2026-02-03,2026-02,0.6021
T411,2026-02-03,2026-02,0.8525
T412,2026-02-03,2026-02,0.9771
T413,2026-02-03,2026-02,0.9754
T414,2026-02-03,2026-02,0.8479
T415,2026-02-03,2026-02,0.7375
T416,2026-02-03,2026-02,0.8135
T417,2026-02-03,2026-02,0.9668
T418,2026-02-03,2026-02,0.8157
T419,2026-02-03,2026-02,0.725
T451,2026-02-03,2026-02,0.7745
T453,2026-02-03,2026-02,0.8165
T455,2026-02-03,2026-02,0.9162
T457,2026-02-03,2026-02,0.9216
T458,2026-02-03,2026-02,0.8331
T459,2026-02-03,2026-02,0.8099
T460,2026-02-03,2026-02,0.8746
T461,2026-02-03,2026-02,0.8462
T462,2026-02-03,2026-02,0.9469
T463,2026-02-03,2026-02,0.9702
T464,2026-02-03,2026-02,0.8514
T465,2026-02-03,2026-02,0.8568
T511,2026-02-03,2026-02,0.8051
T543,2026-02-03,2026-02,0.8814
T544,2026-02-03,2026-02,0.8952
T559,2026-02-03,2026-02,0.6671
T560,2026-02-03,2026-02,0.9097
T561,2026-02-03,2026-02,0.8577
T565,2026-02-03,2026-02,0.8038
T566,2026-02-03,2026-02,0.9087
T567,2026-02-03,2026-02,0.9304
T568,2026-02-03,2026-02,0.7677
T569,2026-02-03,2026-02,0.4467
T585,2026-02-03,2026-02,0.9532
T586,2026-02-03,2026-02,0.8726
T587,2026-02-03,2026-02,0.9849
T588,2026-02-03,2026-02,0.0492
T589,2026-02-03,2026-02,0.83
T772,2026-02-03,2026-02,0.7333
T801,2026-02-03,2026-02,0.9784
T802,2026-02-03,2026-02,0.9242
T803,2026-02-03,2026-02,0.9384
T804,2026-02-03,2026-02,0.8779
T805,2026-02-03,2026-02,0.933
T807,2026-02-03,2026-02,0.8837
T808,2026-02-03,2026-02,0.9335
T809,2026-02-03,2026-02,0.9632
T810,2026-02-03,2026-02,0.6916
T811,2026-02-03,2026-02,0.952
T812,2026-02-03,2026-02,0.9046
T813,2026-02-03,2026-02,0.9571
T814,2026-02-03,2026-02,0.9105
T815,2026-02-03,2026-02,0.8778
T816,2026-02-03,2026-02,0.9738
T817,2026-02-03,2026-02,0.9001
T818,2026-02-03,2026-02,0.9196
T821,2026-02-03,2026-02,0.8676
T852,2026-02-03,2026-02,0.793
T100,2026-02-05,2026-02,0.9802
T101,2026-02-05,2026-02,0.8537
T102,2026-02-05,2026-02,0.9204
T103,2026-02-05,2026-02,0.9117
T104,2026-02-05,2026-02,0.8312
T105,2026-02-05,2026-02,0.8361
T106,2026-02-05,2026-02,0.7183
T107,2026-02-05,2026-02,0.9898
T108,2026-02-05,2026-02,0.8243
T109,2026-02-05,2026-02,0.8213
T110,2026-02-05,2026-02,0.9076
T114,2026-02-05,2026-02,0.7645
T115,2026-02-05,2026-02,0.8319
T117,2026-02-05,2026-02,0.9658
T121,2026-02-05,2026-02,0.9418
T152,2026-02-05,2026-02,0.8438
T154,2026-02-05,2026-02,0.8903
T180,2026-02-05,2026-02,0.969
T305,2026-02-05,2026-02,0.781
T352,2026-02-05,2026-02,0.6522
T400,2026-02-05,2026-02,0.8254
T401,2026-02-05,2026-02,0.8222
T402,2026-02-05,2026-02,0
T408,2026-02-05,2026-02,0.8429
T409,2026-02-05,2026-02,0.9544
T410,2026-02-05,2026-02,0.6395
T411,2026-02-05,2026-02,0.973
T412,2026-02-05,2026-02,0.979
T413,2026-02-05,2026-02,0.9804
T414,2026-02-05,2026-02,0.8185
T415,2026-02-05,2026-02,0.5924
T416,2026-02-05,2026-02,0.2117
