route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI,route_short_name,route_long_name
P1010,2026-05,1,0,0,1,29.298969072165,0,0,P101,Kompleks F ~ Presint 5
S6060,2026-05,13,0,13,0,0.367054390563565,0,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-05,154,134,14,6,0.307237360966924,0.87012987012987,0.6028,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-05,282,261,16,5,0.0925024071945375,0.925531914893617,0.8399,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2020,2026-05,119,115,3,1,0.330596513342697,0.966386554621849,0.6469,T202,Stesen LRT Taman Melati ~ Taman Melewar
T2220,2026-05,22,15,7,0,0.181692094313454,0.681818181818182,0.5579,T222,Stesen LRT Sri Rampai ~ UKAY Perdana
T2230,2026-05,238,230,8,0,0.00279115646916913,0.966386554621849,0.9637,T223,"Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat"
T2500,2026-05,92,85,6,1,0.0650124911614945,0.923913043478261,0.8638,T250,Stesen LRT Wangsa Maju ~ Setapak Sentral
T2510,2026-05,28,22,6,0,0.0604325906651488,0.785714285714286,0.7382,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3008,2026-05,195,188,0,7,1.29353880811003,0.964102564102564,0,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3018,2026-05,337,322,14,1,0.0332868194694463,0.955489614243323,0.9237,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2026-05,182,161,17,4,0.0377747196079553,0.884615384615385,0.8512,T302,Hutan Lipur Ampang ~ Ampang Point
T3048,2026-05,127,94,26,7,0.389504383889596,0.740157480314961,0.4519,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T3500,2026-05,138,116,17,5,0.180990918281718,0.840579710144928,0.6884,T350,Stesen LRT Cempaka ~ Taman Mawar
T3510,2026-05,36,34,0,2,0.117799352750809,0.944444444444444,0.8332,T351,Stesen LRT Cempaka ~ Taman Bukit Permai
T4068,2026-05,212,199,12,1,0.104313237784793,0.938679245283019,0.8408,T406,Cheras Batu 10 ~ Pangsun
T5718,2026-05,196,168,23,5,0.116836038926099,0.857142857142857,0.757,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5800,2026-05,58,47,5,6,0.321322837412954,0.810344827586207,0.55,T580,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil
T5810,2026-05,170,147,19,4,0.131182432365974,0.864705882352941,0.7513,T581,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil
T6000,2026-05,170,125,43,2,0.152457033930225,0.735294117647059,0.6232,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2026-05,229,220,9,0,0.0148716424613813,0.960698689956332,0.9464,T601,Puchong Utama ~ Puchong Prima
T6030,2026-05,136,122,13,1,0.0911459281439256,0.897058823529412,0.8153,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2026-05,266,256,7,3,0.0503057941775634,0.962406015037594,0.914,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2026-05,243,240,3,0,0.0219918072786721,0.987654320987654,0.9659,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
T6400,2026-05,399,353,39,7,0.156700607924566,0.884711779448622,0.7461,T640,Stesen LRT Taman Jaya ~ Taman Sri Sentosa
T7158,2026-05,32,26,6,0,0.0633974846000243,0.8125,0.761,T715,UiTM Puncak Alam ~ Bandar Puncak Alam
T7548,2026-05,85,82,2,1,7.81000592892599,0.964705882352941,0,T754,Hentian Bandar Shah Alam ~ Terminal Seksyen 17
T7568,2026-05,66,60,6,0,0.0122692468965553,0.909090909090909,0.8979,T756,Kemuning Business Park ~ Hentian Bandar via Taman Muda
T7740,2026-05,146,136,1,9,0.157160273055582,0.931506849315068,0.7851,T774,"Stesen LRT Glenmarie ~ MSU, Stadium Shah Alam"
T7760,2026-05,27,25,0,2,0.228842247799594,0.925925925925926,0.714,T776,Stesen LRT USJ 7 ~ Subang Mewah
T7800,2026-05,30,27,2,1,0.094138638895111,0.9,0.8153,T780,Stesen LRT BU 11 ~ Stesen LRT Kelana Jaya
T7810,2026-05,67,39,28,0,0.160886544021842,0.582089552238806,0.4884,T781,Stesen LRT Kelana Jaya ~ Stesen LRT Subang
