route_id,stop_name,month,on time,late,early
T100,(M1) UITM SG BULOH (OPP),2025-12,7,0,0
T100,HOSPITAL SG BULOH PINTU B,2025-12,9,0,0
T100,HOSPITAL SG BULOH PINTU B (OPP),2025-12,12,0,0
T100,HOSPITAL SG BULOH PINTU D,2025-12,8,0,0
T100,HOSPITAL SG BULOH PINTU D (OPP),2025-12,13,0,0
T100,KOLEJ SAINS BERSEKUTU KESIHATAN,2025-12,7,0,2
T100,KOLEJ SAINS BERSEKUTU KESIHATAN (OPP),2025-12,12,1,0
T100,MASJID HOSPITAL SUNGAI BULOH,2025-12,11,0,0
T100,PUSAT KUSTA NEGARA,2025-12,11,0,0
T100,SMK SIERRAMAS,2025-12,8,0,0
T100,SMK SIERRAMAS (Opp),2025-12,12,0,0
T100,STELLARS GROCER,2025-12,12,0,0
T100,STELLARS GROCER (OPP),2025-12,8,0,0
T100,UITM SG BULOH,2025-12,11,0,0
T101,(M1) ASCOTT HILL (OPP),2025-12,6,0,2
T101,BRP 4 PUTRA JATI,2025-12,10,0,0
T101,BRP 4 PUTRA UTAMA,2025-12,11,0,0
T101,DATARAN VILLA PUTRA,2025-12,10,0,0
T101,DEWAN MERANTI,2025-12,8,1,0
T101,KG MELAYU BT 13 (1),2025-12,9,0,0
T101,KG MELAYU BT 13 (2),2025-12,9,0,0
T101,KG MELAYU BT 13 (3),2025-12,9,0,0
T101,KG MELAYU BT 13 (4),2025-12,10,0,0
T101,PASAR DAN BAZAR BBSB,2025-12,9,0,0
T101,PERINDUSTRIAN BRP 8,2025-12,10,0,0
T101,PERUMAHAN 1A/6,2025-12,9,0,0
T101,PERUMAHAN 1C/4,2025-12,9,0,0
T101,PERUMAHAN 1D/1,2025-12,9,0,0
T101,PERUMAHAN BRP 5,2025-12,6,0,3
T101,PERUMAHAN BRP 6,2025-12,10,0,0
T101,PERUMAHAN BRP 7,2025-12,9,0,1
T101,PUSAT KOMERSIAL TSB,2025-12,8,0,0
T101,SK SG BULOH (OPP),2025-12,8,1,0
T101,STELLARS GROCER,2025-12,7,2,0
T101,SURAU Al-IKHWAN,2025-12,9,0,0
T101,SURIA PUTRA,2025-12,7,0,0
T101,TAMAN TASIK BBSB,2025-12,2,1,6
T102,(M1) KAWASAN REKREASI AMAN PUTRI,2025-12,4,1,0
T102,(M2) KUARTERS JKR UNIT TENTERA (OPP),2025-12,11,0,0
T102,(M3) SIMPANG FFM,2025-12,1,0,0
T102,BALAIRAYA KG PAYA JARAS,2025-12,1,0,0
T102,BALAIRAYA KG PAYA JARAS (OPP),2025-12,9,0,0
T102,BALAIRAYA KG PAYA JARAS HILIR (OPP),2025-12,2,0,0
T102,BT. 17 KG. MERBAU SEMPAK,2025-12,3,1,0
T102,DEPOT SIMPANAN PERTAHANAN,2025-12,4,1,3
T102,KEM PAYA JARAS,2025-12,1,0,0
T102,KG KUBU GAJAH,2025-12,2,0,0
T102,KOMERSIAL AMAN PUTRI (BARAT),2025-12,5,0,0
T102,KOMERSIAL AMAN PUTRI (TIMUR),2025-12,8,0,1
T102,KOMPLEKS PERNIAGAAN SIMPANG GAJAH 12,2025-12,7,0,3
T102,KUARTERS ATM KEM PAYA JARAS (OPP),2025-12,10,1,0
T102,KUARTERS DEPOT SIMPANAN PERTAHANAN,2025-12,8,1,0
T102,LOT 1770,2025-12,2,0,0
