"date","route_id","n","n_on_time","n_early","n_late","total_schedule_duration","x1","x2","mae_ratio","log_x1","x2_sq","log_I_hat","I_hat","month"
2025-04-02,"T451",276,223,51,2,94.0333333333333,0.808,0.885,0.115,-0.2132,0.7832,-0.3216,0.725,"2025-04"
2025-04-02,"T453",559,476,80,3,36.95,0.8515,0.9251,0.0749,-0.1607,0.8557,-0.2339,0.7914,"2025-04"
2025-04-02,"T454",184,181,3,0,10.7333333333333,0.9837,0.9966,0.0034,-0.0164,0.9931,-0.041,0.9598,"2025-04"
2025-04-02,"T455",166,149,17,0,23.9166666666667,0.8976,0.9632,0.0368,-0.108,0.9278,-0.156,0.8556,"2025-04"
2025-04-02,"T456",109,104,4,1,14.8,0.9541,0.9431,0.0569,-0.047,0.8894,-0.0935,0.9107,"2025-04"
2025-04-02,"T457",83,75,8,0,39.2833333333333,0.9036,0.9514,0.0486,-0.1014,0.9051,-0.1527,0.8584,"2025-04"
2025-04-02,"T458",156,142,14,0,41.35,0.9103,0.9824,0.0176,-0.094,0.9651,-0.1339,0.8747,"2025-04"
2025-04-02,"T459",278,239,39,0,36.0166666666667,0.8597,0.9369,0.0631,-0.1512,0.8778,-0.2171,0.8048,"2025-04"
2025-04-02,"T460",380,304,75,1,69.5666666666667,0.8,0.9396,0.0604,-0.2231,0.8828,-0.2987,0.7418,"2025-04"
2025-04-02,"T461",285,256,24,5,22.7333333333333,0.8982,0,4.5984,-0.1073,0,NA,0,"2025-04"
2025-04-02,"T462",402,374,26,2,42.7833333333334,0.9303,0.9585,0.0415,-0.0722,0.9187,-0.1162,0.8903,"2025-04"
2025-04-02,"T463",208,194,13,1,33.9,0.9327,0.9597,0.0403,-0.0697,0.921,-0.1128,0.8933,"2025-04"
2025-04-02,"T464",184,166,18,0,84.5833333333333,0.9022,0.9357,0.0643,-0.1029,0.8756,-0.1619,0.8505,"2025-04"
2025-04-02,"T465",235,176,56,3,38.05,0.7489,0.8952,0.1048,-0.2891,0.8014,-0.4018,0.6691,"2025-04"
2025-04-02,"T507",216,198,16,2,42,0.9167,0.9765,0.0235,-0.087,0.9535,-0.1273,0.8805,"2025-04"
2025-04-02,"T511",407,363,38,6,62.0833333333333,0.8919,0.8769,0.1231,-0.1144,0.769,-0.214,0.8073,"2025-04"
2025-04-02,"T542",205,204,1,0,12.05,0.9951,0.9992,8e-04,-0.0049,0.9984,-0.0275,0.9729,"2025-04"
2025-04-02,"T543",420,396,22,2,42.95,0.9429,0.9894,0.0106,-0.0588,0.979,-0.0919,0.9122,"2025-04"
2025-04-02,"T544",151,142,4,5,24.7333333333333,0.9404,0.9656,0.0344,-0.0615,0.9324,-0.1014,0.9036,"2025-04"
2025-04-02,"T559",91,76,14,1,21.4333333333333,0.8352,0.918,0.082,-0.1801,0.8427,-0.2607,0.7705,"2025-04"
2025-04-02,"T560",390,367,23,0,17.9666666666667,0.941,0.9773,0.0227,-0.0608,0.9552,-0.0971,0.9075,"2025-04"
2025-04-02,"T561",18,17,1,0,25.6333333333333,0.9444,0.9681,0.0319,-0.0572,0.9373,-0.0957,0.9087,"2025-04"
2025-04-02,"T562",155,123,29,3,18.0666666666667,0.7935,0.7949,0.2051,-0.2312,0.6319,-0.4344,0.6477,"2025-04"
2025-04-02,"T563",130,92,34,4,33.4333333333333,0.7077,0.9045,0.0955,-0.3457,0.8181,-0.4607,0.6308,"2025-04"
2025-04-02,"T564",108,99,9,0,18.2333333333333,0.9167,0.9843,0.0157,-0.087,0.9689,-0.1256,0.882,"2025-04"
2025-04-02,"T565",204,190,14,0,32.7333333333333,0.9314,0.9888,0.0112,-0.0711,0.9777,-0.1059,0.8995,"2025-04"
2025-04-02,"T566",259,245,12,2,29.4666666666667,0.9459,0.9606,0.0394,-0.0556,0.9228,-0.0964,0.9081,"2025-04"
2025-04-02,"T567",288,274,14,0,23.2333333333333,0.9514,0.9946,0.0054,-0.0498,0.9892,-0.0802,0.9229,"2025-04"
2025-04-02,"T585",292,286,3,3,45.2333333333333,0.9795,0.9868,0.0132,-0.0208,0.9737,-0.0481,0.953,"2025-04"
2025-04-02,"T586",366,354,12,0,36.2166666666667,0.9672,0.9906,0.0094,-0.0333,0.9812,-0.0617,0.9402,"2025-04"
2025-04-02,"T587",16,16,0,0,19.2333333333333,1,1,0,0,1,-0.0218,0.9784,"2025-04"
2025-04-02,"T588",228,216,9,3,25.9333333333333,0.9474,0.9774,0.0226,-0.0541,0.9553,-0.0891,0.9148,"2025-04"
2025-04-02,"T589",355,333,20,2,29.6166666666667,0.938,0.9706,0.0294,-0.064,0.9421,-0.1027,0.9024,"2025-04"
2025-04-02,"T772",235,190,43,2,62.4,0.8085,0.9102,0.0898,-0.2126,0.8285,-0.3032,0.7385,"2025-04"
2025-04-02,"T801",310,289,21,0,27.8,0.9323,0.9566,0.0434,-0.0701,0.9152,-0.1149,0.8915,"2025-04"
2025-04-02,"T802",568,530,22,16,53.5166666666667,0.9331,0.8754,0.1246,-0.0692,0.7664,-0.163,0.8496,"2025-04"
2025-04-02,"T803",202,192,9,1,59.0833333333333,0.9505,0.9735,0.0265,-0.0508,0.9477,-0.0864,0.9172,"2025-04"
2025-04-02,"T804",258,197,52,9,48.7166666666667,0.7636,0.8234,0.1766,-0.2698,0.678,-0.4451,0.6408,"2025-04"
2025-04-02,"T805",435,399,34,2,25.4333333333333,0.9172,0.9409,0.0591,-0.0864,0.8854,-0.1404,0.869,"2025-04"
2025-04-02,"T807",686,591,88,7,41.9333333333333,0.8615,0.9073,0.0927,-0.1491,0.8232,-0.2316,0.7933,"2025-04"
2025-04-02,"T808",165,154,10,1,11.05,0.9333,0.9765,0.0235,-0.069,0.9535,-0.1065,0.899,"2025-04"
2025-04-02,"T809",393,336,52,5,33.25,0.855,0.9278,0.0722,-0.1567,0.8608,-0.2281,0.796,"2025-04"
2025-04-02,"T810",329,281,48,0,17.9,0.8541,0.9372,0.0628,-0.1577,0.8783,-0.2243,0.7991,"2025-04"
2025-04-02,"T811",381,353,22,6,28.9166666666667,0.9265,0.879,0.121,-0.0763,0.7726,-0.168,0.8454,"2025-04"
2025-04-02,"T812",221,198,21,2,23.8166666666667,0.8959,0.8766,0.1234,-0.1099,0.7684,-0.2088,0.8116,"2025-04"
2025-04-02,"T813",477,444,32,1,20.1333333333333,0.9308,0.9672,0.0328,-0.0717,0.9355,-0.1126,0.8935,"2025-04"
