route_id,date,month,BPI,route_short_name,route_long_name
S6060,2026-03-02,2026-03,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-03-02,2026-03,0.5009,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-03-02,2026-03,0.8787,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2020,2026-03-02,2026-03,0.9684,T202,Stesen LRT Taman Melati ~ Taman Melewar
T2220,2026-03-02,2026-03,0.6998,T222,Stesen LRT Sri Rampai ~ UKAY Perdana
T2230,2026-03-02,2026-03,0.8965,T223,"Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat"
T2510,2026-03-02,2026-03,0.8787,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3008,2026-03-02,2026-03,0,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3018,2026-03-02,2026-03,0.9597,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2026-03-02,2026-03,0.8313,T302,Hutan Lipur Ampang ~ Ampang Point
T3030,2026-03-02,2026-03,0.7131,T303,Ampang Point ~ Stesen LRT Pandan Indah
T3048,2026-03-02,2026-03,0,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T3500,2026-03-02,2026-03,0.748,T350,Stesen LRT Cempaka ~ Taman Mawar
T3510,2026-03-02,2026-03,0.9692,T351,Stesen LRT Cempaka ~ Taman Bukit Permai
T4068,2026-03-02,2026-03,0.7506,T406,Cheras Batu 10 ~ Pangsun
T5718,2026-03-02,2026-03,0.5972,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5800,2026-03-02,2026-03,0.5903,T580,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil
T5810,2026-03-02,2026-03,0.82,T581,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil
T6000,2026-03-02,2026-03,0.6075,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2026-03-02,2026-03,0.9695,T601,Puchong Utama ~ Puchong Prima
T6030,2026-03-02,2026-03,0.8759,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2026-03-02,2026-03,0.8989,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2026-03-02,2026-03,0.9068,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
T6400,2026-03-02,2026-03,0.4147,T640,Stesen LRT Taman Jaya ~ Taman Sri Sentosa
T7158,2026-03-02,2026-03,0.6679,T715,UiTM Puncak Alam ~ Bandar Puncak Alam
T7538,2026-03-02,2026-03,0.3425,T753,"Hentian Bandar Shah Alam ~ Sekysen 11, 9, 8, 6, 5"
T7548,2026-03-02,2026-03,0,T754,Hentian Bandar Shah Alam ~ Terminal Seksyen 17
T7568,2026-03-02,2026-03,0.4411,T756,Kemuning Business Park ~ Hentian Bandar via Taman Muda
T7740,2026-03-02,2026-03,0.9416,T774,"Stesen LRT Glenmarie ~ MSU, Stadium Shah Alam"
T7800,2026-03-02,2026-03,0.8079,T780,Stesen LRT Kelana Jaya ~ Taman Mayang
T7810,2026-03-02,2026-03,0.7558,T781,Stesen LRT Kelana Jaya ~ Kelana Centre Point
T7820,2026-03-02,2026-03,0.9839,T782,Stesen LRT Lembah Subang ~ Ara Damansara
T7860,2026-03-02,2026-03,0.6566,T786,Stesen LRT Asia Jaya ~ Stesen MRT Phileo Damansara
T7870,2026-03-02,2026-03,0.9432,T787,Stesen LRT Asia Jaya ~ Seksyen 14 & 18
T7890,2026-03-02,2026-03,0.9195,T789,Stesen LRT Universiti ~ Universiti Malaya via Pantai Hillpark
T7900,2026-03-02,2026-03,0.7116,T790,Stesen LRT Paramount ~ Mid Valley
T8510,2026-03-02,2026-03,0.3205,T851,KL Sentral ~ Parlimen
U1710,2026-03-02,2026-03,0.7496,171,Hab Wira Damai ~ Lebuh Ampang via Sentul
U1730,2026-03-02,2026-03,0.7828,173,Taman Jasa Utama ~ Lebuh Ampang
U1800,2026-03-02,2026-03,0.7375,180,Taman Dato' Senu ~ Hab Pasar Seni
