route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI,route_short_name,route_long_name
S6060,2026-06,16,0,16,0,0.411402359108781,0,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-06,178,153,24,1,0.147517075116746,0.859550561797753,0.7328,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-06,275,257,15,3,0.0509423675364062,0.934545454545455,0.8869,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2220,2026-06,42,33,8,1,0.149241417641491,0.785714285714286,0.6685,T222,Stesen LRT Sri Rampai ~ UKAY Perdana
T2230,2026-06,106,102,4,0,0.00303976724792871,0.962264150943396,0.9593,T223,"Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat"
T2500,2026-06,35,31,3,1,0.0393465754155846,0.885714285714286,0.8509,T250,Stesen LRT Wangsa Maju ~ Setapak Sentral
T2510,2026-06,106,82,20,4,0.632917256674142,0.773584905660377,0.284,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3008,2026-06,38,34,0,4,115.149001699235,0.894736842105263,0,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3018,2026-06,52,49,3,0,0.0144446322564643,0.942307692307692,0.9287,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2026-06,226,202,16,8,0.04781093876809,0.893805309734513,0.8511,T302,Hutan Lipur Ampang ~ Ampang Point
T3048,2026-06,425,345,59,21,0.371111786910872,0.811764705882353,0.5105,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T3500,2026-06,47,35,8,4,0.330296039767771,0.74468085106383,0.4987,T350,Stesen LRT Cempaka ~ Taman Mawar
T3510,2026-06,54,51,2,1,0.0201502732240437,0.944444444444444,0.9254,T351,Stesen LRT Cempaka ~ Taman Bukit Permai
T4068,2026-06,131,121,9,1,0.115296890103904,0.923664122137404,0.8172,T406,Cheras Batu 10 ~ Pangsun
T5718,2026-06,68,59,7,2,0.107290230496901,0.867647058823529,0.7746,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5800,2026-06,100,85,8,7,0.306676867890178,0.85,0.5893,T580,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil
T5810,2026-06,118,101,13,4,0.0963929445222085,0.855932203389831,0.7734,T581,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil
T6000,2026-06,285,206,71,8,0.180152148864645,0.72280701754386,0.5926,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2026-06,79,76,2,1,0.0179331143769427,0.962025316455696,0.9448,T601,Puchong Utama ~ Puchong Prima
T6030,2026-06,36,31,5,0,0.0276799875107884,0.861111111111111,0.8373,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2026-06,171,165,4,2,0.087441436324445,0.964912280701754,0.8805,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
