route_id,date,month,BPI,route_short_name,route_long_name
S6060,2026-05-04,2026-05,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-05-04,2026-05,0.4528,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-05-04,2026-05,0.9108,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2020,2026-05-04,2026-05,0.7187,T202,Stesen LRT Taman Melati ~ Taman Melewar
T2230,2026-05-04,2026-05,0.9696,T223,"Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat"
T2500,2026-05-04,2026-05,0.8722,T250,Stesen LRT Wangsa Maju ~ Setapak Sentral
T2510,2026-05-04,2026-05,0,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3008,2026-05-04,2026-05,0.2851,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3018,2026-05-04,2026-05,0.9262,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2026-05-04,2026-05,0.8498,T302,Hutan Lipur Ampang ~ Ampang Point
T3048,2026-05-04,2026-05,0.6183,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T3510,2026-05-04,2026-05,0.8666,T351,Stesen LRT Cempaka ~ Taman Bukit Permai
T4068,2026-05-04,2026-05,0.6687,T406,Cheras Batu 10 ~ Pangsun
T5718,2026-05-04,2026-05,0.7567,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5810,2026-05-04,2026-05,0,T581,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil
T6000,2026-05-04,2026-05,0.6281,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2026-05-04,2026-05,0.9065,T601,Puchong Utama ~ Puchong Prima
T6030,2026-05-04,2026-05,0.8467,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2026-05-04,2026-05,0.9123,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2026-05-04,2026-05,0.932,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
T6400,2026-05-04,2026-05,0.7435,T640,Stesen LRT Taman Jaya ~ Taman Sri Sentosa
T7158,2026-05-04,2026-05,0.6443,T715,UiTM Puncak Alam ~ Bandar Puncak Alam
T7568,2026-05-04,2026-05,0.9479,T756,Kemuning Business Park ~ Hentian Bandar via Taman Muda
T7740,2026-05-04,2026-05,1,T774,"Stesen LRT Glenmarie ~ MSU, Stadium Shah Alam"
T7800,2026-05-04,2026-05,0.8308,T780,Stesen LRT BU 11 ~ Stesen LRT Kelana Jaya
T7810,2026-05-04,2026-05,0.4059,T781,Stesen LRT Kelana Jaya ~ Stesen LRT Subang
T7860,2026-05-04,2026-05,0.8603,T786,Stesen LRT Asia Jaya ~ Stesen MRT Phileo Damansara
T7870,2026-05-04,2026-05,0.9554,T787,Stesen LRT Asia Jaya ~ Seksyen 14 & 18
T7890,2026-05-04,2026-05,0.9864,T789,Stesen LRT Universiti ~ Universiti Malaya via Pantai Hillpark
U1510,2026-05-04,2026-05,0.5891,151,Bandar Baru Selayang ~ Hab Pasar Seni
U1710,2026-05-04,2026-05,0.7595,171,Hab Wira Damai ~ Lebuh Ampang via Sentul
U1730,2026-05-04,2026-05,0.8416,173,Taman Jasa Utama ~ Lebuh Ampang
U1800,2026-05-04,2026-05,0.8099,180,Taman Dato' Senu ~ Hab Pasar Seni
U1900,2026-05-04,2026-05,0.9045,190,Desa Sri Hartamas ~ Lin Ho Jln Lekiu
U2000,2026-05-04,2026-05,0,200,UIA Gombak ~ SOGO KL
U2020,2026-05-04,2026-05,0.7501,202,Hub Wira Damai ~ Lebuh Ampang via Gombak
U2200,2026-05-04,2026-05,0.2182,220,Taman Melawati ~ Lebuh Ampang
