route_id,date,month,BPI,route_short_name,route_long_name
P1010,2026-02-03,2026-02,0,P101,Kompleks F ~ Presint 5
P1040,2026-02-03,2026-02,0.4871,P104,Dataran Gemilang ~ PICC via Presint 5
P1080,2026-02-03,2026-02,0.602,P108,Terminal Putrajaya Sentral ~ Kompleks ABCDE
S5010,2026-02-03,2026-02,1,MENARA PRASARANA,LRT Lembah Subang ~ Menara Prasarana
S6060,2026-02-03,2026-02,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-02-03,2026-02,0.2178,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-02-03,2026-02,0.9235,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2020,2026-02-03,2026-02,0.965,T202,Stesen LRT Taman Melati ~ Taman Melewar
T2220,2026-02-03,2026-02,0.6137,T222,Stesen LRT Sri Rampai ~ UKAY Perdana
T2230,2026-02-03,2026-02,0.9519,T223,"Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat"
T2500,2026-02-03,2026-02,0.7957,T250,Stesen LRT Wangsa Maju ~ Setapak Sentral
T2510,2026-02-03,2026-02,0.6961,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3008,2026-02-03,2026-02,0.3374,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3018,2026-02-03,2026-02,0.9266,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2026-02-03,2026-02,0.8419,T302,Hutan Lipur Ampang ~ Ampang Point
T3048,2026-02-03,2026-02,0.6016,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T3500,2026-02-03,2026-02,0.4264,T350,Stesen LRT Cempaka ~ Taman Mawar
T3510,2026-02-03,2026-02,0.8328,T351,Stesen LRT Cempaka ~ Taman Bukit Permai
T4068,2026-02-03,2026-02,0.717,T406,Cheras Batu 10 ~ Pangsun
T5718,2026-02-03,2026-02,0.4981,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5800,2026-02-03,2026-02,0.856,T580,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil
T5810,2026-02-03,2026-02,0.7734,T581,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil
T6000,2026-02-03,2026-02,0.61,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2026-02-03,2026-02,0.9387,T601,Puchong Utama ~ Puchong Prima
T6030,2026-02-03,2026-02,0.7769,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2026-02-03,2026-02,0.8746,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2026-02-03,2026-02,0.9646,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
T6400,2026-02-03,2026-02,0.762,T640,Stesen LRT Taman Jaya ~ Taman Sri Sentosa
T7158,2026-02-03,2026-02,1,T715,UiTM Puncak Alam ~ Bandar Puncak Alam
T7548,2026-02-03,2026-02,0,T754,Hentian Bandar Shah Alam ~ Terminal Seksyen 17
