route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI
T100,2026-07,73,70,3,0,0.0353662805062179,0.958904109589041,0.925
T101,2026-07,322,293,25,4,0.0582126504079824,0.909937888198758,0.857
T102,2026-07,117,113,1,3,0.148840480953029,0.965811965811966,0.8221
T103,2026-07,456,425,22,9,0.08541192663349,0.932017543859649,0.8524
T104,2026-07,46,42,3,1,0.0746936341969582,0.91304347826087,0.8448
T105,2026-07,111,106,4,1,0.0632191915574011,0.954954954954955,0.8946
T106,2026-07,204,196,6,2,0.023281915432911,0.96078431372549,0.9384
T107,2026-07,181,180,0,1,0.0492903720751822,0.994475138121547,0.9455
T108,2026-07,257,240,13,4,0.0815021978260583,0.933852140077821,0.8577
T109,2026-07,201,184,14,3,0.0642690480340158,0.915422885572139,0.8566
T110,2026-07,79,69,10,0,0.0234737717240593,0.873417721518987,0.8529
T114,2026-07,68,59,7,2,0.187973506033345,0.867647058823529,0.7046
T115,2026-07,93,82,11,0,0.0195251948559244,0.881720430107527,0.8645
T117,2026-07,49,49,0,0,0,1,1
T121,2026-07,69,66,2,1,0.0178921973803776,0.956521739130435,0.9394
T152,2026-07,224,202,19,3,0.148986568163026,0.901785714285714,0.7674
T154,2026-07,90,82,7,1,0.0157091986713914,0.911111111111111,0.8968
T180,2026-07,48,46,2,0,0.025557509280192,0.958333333333333,0.9338
T305,2026-07,109,95,11,3,0.148472711291641,0.871559633027523,0.7422
T352,2026-07,286,236,48,2,0.14822819840833,0.825174825174825,0.7029
T400,2026-07,81,80,0,1,0.0826315789473684,0.987654320987654,0.906
T401,2026-07,109,99,7,3,0.0919229572454843,0.908256880733945,0.8248
T402,2026-07,202,189,9,4,0.397626527664429,0.935643564356436,0.5636
T407,2026-07,25,22,3,0,0.188383481861747,0.88,0.7142
T408,2026-07,380,347,30,3,0.042920569522637,0.913157894736842,0.874
T409,2026-07,421,401,18,2,0.027157827844074,0.95249406175772,0.9266
T410,2026-07,274,186,83,5,0.137249633883022,0.678832116788321,0.5857
T411,2026-07,176,170,2,4,0.0958154127862658,0.965909090909091,0.8734
T412,2026-07,161,158,0,3,0.0306115719051919,0.981366459627329,0.9513
T413,2026-07,327,318,4,5,0.0223506363780491,0.972477064220184,0.9507
T414,2026-07,190,173,9,8,0.0525797594821103,0.910526315789474,0.8627
T415,2026-07,106,92,9,5,0.244187113676942,0.867924528301887,0.656
T416,2026-07,98,89,5,4,0.437134402979834,0.908163265306122,0.5112
T417,2026-07,400,390,4,6,0.105498561955556,0.975,0.8721
T418,2026-07,192,173,15,4,0.0564161581881419,0.901041666666667,0.8502
T419,2026-07,81,66,11,4,0.109797041457798,0.814814814814815,0.7254
T451,2026-07,331,291,37,3,0.15192893053398,0.879154078549849,0.7456
T453,2026-07,221,200,14,7,0.0365679458066139,0.904977375565611,0.8719
T455,2026-07,319,308,1,10,0.0801217400393571,0.96551724137931,0.8882
T457,2026-07,73,67,5,1,0.0379625469998457,0.917808219178082,0.883
T458,2026-07,201,180,20,1,0.0177911624680675,0.895522388059702,0.8796
T459,2026-07,37,32,4,1,0.0586722111672364,0.864864864864865,0.8141
T460,2026-07,115,101,13,1,0.040565586365095,0.878260869565217,0.8426
T461,2026-07,140,132,7,1,0.13308673236311,0.942857142857143,0.8174
T462,2026-07,80,77,2,1,0.0529097317832763,0.9625,0.9116
T463,2026-07,186,179,6,1,0.00976281696631306,0.96236559139785,0.953
T464,2026-07,81,66,14,1,0.111540008422588,0.814814814814815,0.7239
T465,2026-07,84,69,15,0,0.068101070442501,0.821428571428571,0.7655
T504,2026-07,45,42,2,1,0.0117799853514635,0.933333333333333,0.9223
T505,2026-07,38,35,2,1,0.034661925671605,0.921052631578947,0.8891
T506,2026-07,67,62,4,1,0.112969484781104,0.925373134328358,0.8208
T507,2026-07,76,73,3,0,0.0153876107061147,0.960526315789474,0.9457
T509,2026-07,173,152,21,0,0.0727362844764062,0.878612716763006,0.8147
T511,2026-07,158,140,15,3,0.12520430264954,0.886075949367089,0.7751
T543,2026-07,240,213,26,1,0.0494234634291651,0.8875,0.8436
T544,2026-07,100,91,3,6,0.17890797840325,0.91,0.7472
T545,2026-07,50,43,4,3,0.31573182011326,0.86,0.5885
T559,2026-07,30,24,6,0,0.153541544823057,0.8,0.6772
T560,2026-07,258,240,17,1,0.0423029794347571,0.930232558139535,0.8909
T561,2026-07,161,152,4,5,0.0356005877738958,0.944099378881988,0.9105
T565,2026-07,258,240,10,8,0.115444593164605,0.930232558139535,0.8228
T566,2026-07,232,219,12,1,0.06953486200614,0.943965517241379,0.8783
T567,2026-07,150,135,14,1,0.0168903298023596,0.9,0.8848
T568,2026-07,236,209,24,3,0.11359955577934,0.885593220338983,0.785
T569,2026-07,55,47,3,5,0.487683984659045,0.854545454545455,0.4378
T585,2026-07,53,49,2,2,0.0554214132561542,0.924528301886792,0.8733
T586,2026-07,223,212,8,3,0.0533074078837609,0.95067264573991,0.9
T587,2026-07,126,122,1,3,0.0447241615319318,0.968253968253968,0.9249
T588,2026-07,63,58,4,1,0.103282174587038,0.920634920634921,0.8255
T589,2026-07,130,119,10,1,0.0896454996043313,0.915384615384615,0.8333
T772,2026-07,202,175,25,2,0.261835176137668,0.866336633663366,0.6395
T801,2026-07,181,178,1,2,0.189751387804153,0.983425414364641,0.7968
