route_id,date,month,BPI
T100,2026-04-01,2026-04,0.8771
T101,2026-04-01,2026-04,0.8789
T102,2026-04-01,2026-04,0.9088
T103,2026-04-01,2026-04,0.9385
T104,2026-04-01,2026-04,0.8958
T105,2026-04-01,2026-04,0.9492
T106,2026-04-01,2026-04,0.9694
T107,2026-04-01,2026-04,0.8978
T108,2026-04-01,2026-04,0.896
T109,2026-04-01,2026-04,0.8789
T110,2026-04-01,2026-04,0.9195
T114,2026-04-01,2026-04,0.7648
T115,2026-04-01,2026-04,0.854
T117,2026-04-01,2026-04,1
T121,2026-04-01,2026-04,0.9754
T152,2026-04-01,2026-04,0.8329
T154,2026-04-01,2026-04,0.8155
T180,2026-04-01,2026-04,0.9525
T305,2026-04-01,2026-04,0.8646
T352,2026-04-01,2026-04,0.7098
T400,2026-04-01,2026-04,0.9746
T401,2026-04-01,2026-04,0.8842
T402,2026-04-01,2026-04,0.9594
T408,2026-04-01,2026-04,0.8681
T409,2026-04-01,2026-04,0.9215
T410,2026-04-01,2026-04,0.6788
T411,2026-04-01,2026-04,0.9619
T412,2026-04-01,2026-04,0.9322
T413,2026-04-01,2026-04,0.9571
T414,2026-04-01,2026-04,0.8724
T415,2026-04-01,2026-04,0.6505
T416,2026-04-01,2026-04,0.4327
T417,2026-04-01,2026-04,0.9155
T418,2026-04-01,2026-04,0.8278
T419,2026-04-01,2026-04,0.8004
T451,2026-04-01,2026-04,0.7878
T453,2026-04-01,2026-04,0.9293
T455,2026-04-01,2026-04,0.9606
T457,2026-04-01,2026-04,0.9287
T458,2026-04-01,2026-04,0.8648
T459,2026-04-01,2026-04,0.9008
T460,2026-04-01,2026-04,0.8702
T461,2026-04-01,2026-04,0.8807
T462,2026-04-01,2026-04,0.9402
T463,2026-04-01,2026-04,0.9559
T464,2026-04-01,2026-04,0.7721
T465,2026-04-01,2026-04,0.7856
T504,2026-04-01,2026-04,0.9078
T505,2026-04-01,2026-04,0.8792
T507,2026-04-01,2026-04,0.9765
T509,2026-04-01,2026-04,0.8155
T511,2026-04-01,2026-04,0.8277
T543,2026-04-01,2026-04,0.7991
T544,2026-04-01,2026-04,0.8005
T559,2026-04-01,2026-04,0.6849
T560,2026-04-01,2026-04,0.9016
T561,2026-04-01,2026-04,1
T565,2026-04-01,2026-04,0.921
T566,2026-04-01,2026-04,0.9338
T568,2026-04-01,2026-04,0.688
T569,2026-04-01,2026-04,0.828
T585,2026-04-01,2026-04,0.9309
T586,2026-04-01,2026-04,0.9441
T587,2026-04-01,2026-04,0.9752
T588,2026-04-01,2026-04,0.8444
T589,2026-04-01,2026-04,0.9216
T772,2026-04-01,2026-04,0.573
T801,2026-04-01,2026-04,0.3808
T802,2026-04-01,2026-04,0.8879
T803,2026-04-01,2026-04,0.7784
T805,2026-04-01,2026-04,0.908
T807,2026-04-01,2026-04,0.8409
T808,2026-04-01,2026-04,0.9075
T809,2026-04-01,2026-04,0.9326
T810,2026-04-01,2026-04,0.7603
T811,2026-04-01,2026-04,0.9706
T812,2026-04-01,2026-04,0.37
T813,2026-04-01,2026-04,0.9305
T814,2026-04-01,2026-04,0.9614
T815,2026-04-01,2026-04,0.8004
T816,2026-04-01,2026-04,0.6236
T817,2026-04-01,2026-04,0.7616
T818,2026-04-01,2026-04,0.8362
T821,2026-04-01,2026-04,0.8628
T852,2026-04-01,2026-04,0.841
T100,2026-04-02,2026-04,1
T101,2026-04-02,2026-04,0.8988
T102,2026-04-02,2026-04,0.6282
T103,2026-04-02,2026-04,0.9128
T104,2026-04-02,2026-04,0.5873
T105,2026-04-02,2026-04,0.9169
T106,2026-04-02,2026-04,0.9381
T107,2026-04-02,2026-04,0.9159
T108,2026-04-02,2026-04,0.8748
T109,2026-04-02,2026-04,0.9297
T110,2026-04-02,2026-04,0.7294
T114,2026-04-02,2026-04,0.7534
T115,2026-04-02,2026-04,0.9072
T117,2026-04-02,2026-04,1
T121,2026-04-02,2026-04,0.9422
T152,2026-04-02,2026-04,0.8039
T154,2026-04-02,2026-04,0.9532
T180,2026-04-02,2026-04,0.9624
T305,2026-04-02,2026-04,0.7202
T352,2026-04-02,2026-04,0.7965
T400,2026-04-02,2026-04,0.912
T401,2026-04-02,2026-04,0.762
T402,2026-04-02,2026-04,0.9181
T408,2026-04-02,2026-04,0.8903
T409,2026-04-02,2026-04,0.9495
T410,2026-04-02,2026-04,0.6088
T411,2026-04-02,2026-04,0.9838
T412,2026-04-02,2026-04,0.9814
T413,2026-04-02,2026-04,0.9781
T414,2026-04-02,2026-04,0.8599
T415,2026-04-02,2026-04,0.7558
T416,2026-04-02,2026-04,0.7757
T417,2026-04-02,2026-04,0.8866
T418,2026-04-02,2026-04,0.8043
T419,2026-04-02,2026-04,0.5974
T451,2026-04-02,2026-04,0.7863
T453,2026-04-02,2026-04,0.8754
T455,2026-04-02,2026-04,0.9339
T457,2026-04-02,2026-04,0.9506
T458,2026-04-02,2026-04,0.8642
T459,2026-04-02,2026-04,0.8122
T460,2026-04-02,2026-04,0.8942
T461,2026-04-02,2026-04,0.8891
T462,2026-04-02,2026-04,0.9825
T463,2026-04-02,2026-04,0.9727
T464,2026-04-02,2026-04,0.7744
T465,2026-04-02,2026-04,0.8262
T504,2026-04-02,2026-04,0.9032
T505,2026-04-02,2026-04,0.9004
T507,2026-04-02,2026-04,0.9359
T509,2026-04-02,2026-04,0.4439
T511,2026-04-02,2026-04,0.7266
T543,2026-04-02,2026-04,0.8933
T544,2026-04-02,2026-04,0.8841
T545,2026-04-02,2026-04,0.6682
T559,2026-04-02,2026-04,0.6336
T560,2026-04-02,2026-04,0.9101
T565,2026-04-02,2026-04,0.8432
T566,2026-04-02,2026-04,0.9467
T567,2026-04-02,2026-04,0.8568
T568,2026-04-02,2026-04,0.9812
T569,2026-04-02,2026-04,0.8641
T585,2026-04-02,2026-04,0.554
T586,2026-04-02,2026-04,0.7907
T587,2026-04-02,2026-04,0.9448
T588,2026-04-02,2026-04,0.7952
T589,2026-04-02,2026-04,0.8883
T772,2026-04-02,2026-04,0.4185
T801,2026-04-02,2026-04,0.6655
T802,2026-04-02,2026-04,0.4969
T803,2026-04-02,2026-04,0.8436
T804,2026-04-02,2026-04,0.854
T805,2026-04-02,2026-04,0.9119
T807,2026-04-02,2026-04,0.8426
T808,2026-04-02,2026-04,0.9013
T809,2026-04-02,2026-04,0.9503
T810,2026-04-02,2026-04,0.7588
T811,2026-04-02,2026-04,0.9756
T812,2026-04-02,2026-04,0.861
T813,2026-04-02,2026-04,0.9525
T814,2026-04-02,2026-04,0.959
T815,2026-04-02,2026-04,0.8167
T816,2026-04-02,2026-04,0.7582
T817,2026-04-02,2026-04,0.8809
T818,2026-04-02,2026-04,0.9047
T821,2026-04-02,2026-04,0.8917
T852,2026-04-02,2026-04,0.8651
T100,2026-04-04,2026-04,0.982
T101,2026-04-04,2026-04,0.8454
T102,2026-04-04,2026-04,0.5861
T103,2026-04-04,2026-04,0.9241
T104,2026-04-04,2026-04,0.1687
T105,2026-04-04,2026-04,0.9808
T106,2026-04-04,2026-04,0.9349
T107,2026-04-04,2026-04,1
T108,2026-04-04,2026-04,0.8652
T109,2026-04-04,2026-04,0.9005
T110,2026-04-04,2026-04,0.8912
T114,2026-04-04,2026-04,0.758
T115,2026-04-04,2026-04,0.8796
T117,2026-04-04,2026-04,0.988
T121,2026-04-04,2026-04,0.9834
T152,2026-04-04,2026-04,0.8287
T154,2026-04-04,2026-04,0.8258
T180,2026-04-04,2026-04,0.9801
T305,2026-04-04,2026-04,0.8275
T352,2026-04-04,2026-04,0.6722
T400,2026-04-04,2026-04,0.8716
T401,2026-04-04,2026-04,0.8766
T402,2026-04-04,2026-04,0
T407,2026-04-04,2026-04,0.8039
T408,2026-04-04,2026-04,0.8961
T409,2026-04-04,2026-04,0.8147
T410,2026-04-04,2026-04,0.6605
T411,2026-04-04,2026-04,0.9528
T412,2026-04-04,2026-04,0.975
T413,2026-04-04,2026-04,0.9673
T414,2026-04-04,2026-04,0.8509
T415,2026-04-04,2026-04,0.7011
T416,2026-04-04,2026-04,0.8547
T417,2026-04-04,2026-04,0.9819
T418,2026-04-04,2026-04,0.8627
T419,2026-04-04,2026-04,0.7269
T451,2026-04-04,2026-04,0.7926
T453,2026-04-04,2026-04,0.8725
T455,2026-04-04,2026-04,0.9103
T457,2026-04-04,2026-04,0.9658
T458,2026-04-04,2026-04,0.8685
T459,2026-04-04,2026-04,0.8381
T460,2026-04-04,2026-04,0.8841
T461,2026-04-04,2026-04,0.8914
T462,2026-04-04,2026-04,0.937
T463,2026-04-04,2026-04,0.9607
T464,2026-04-04,2026-04,0.7905
T465,2026-04-04,2026-04,0.7733
T507,2026-04-04,2026-04,0.8851
T509,2026-04-04,2026-04,0.7314
T511,2026-04-04,2026-04,0.726
T543,2026-04-04,2026-04,0.8423
T544,2026-04-04,2026-04,0.9515
T559,2026-04-04,2026-04,0.7714
T560,2026-04-04,2026-04,0.9437
T561,2026-04-04,2026-04,0.893
T565,2026-04-04,2026-04,0.8091
T566,2026-04-04,2026-04,0.9462
T567,2026-04-04,2026-04,0.9191
T568,2026-04-04,2026-04,0.406
T569,2026-04-04,2026-04,0.8045
T585,2026-04-04,2026-04,0.9459
T586,2026-04-04,2026-04,0.9187
T587,2026-04-04,2026-04,0.955
T588,2026-04-04,2026-04,0.9
T589,2026-04-04,2026-04,0.8387
T772,2026-04-04,2026-04,0.7523
T801,2026-04-04,2026-04,0.8502
T802,2026-04-04,2026-04,0.9311
T803,2026-04-04,2026-04,0.925
T805,2026-04-04,2026-04,0.8363
T807,2026-04-04,2026-04,0.8764
T808,2026-04-04,2026-04,0.939
T809,2026-04-04,2026-04,0.9656
T810,2026-04-04,2026-04,0.7689
T811,2026-04-04,2026-04,0.9581
T812,2026-04-04,2026-04,0.9265
T813,2026-04-04,2026-04,0.9417
T814,2026-04-04,2026-04,0.9298
T815,2026-04-04,2026-04,0.9287
T816,2026-04-04,2026-04,0.9
T817,2026-04-04,2026-04,0.9129
T818,2026-04-04,2026-04,0.9039
T852,2026-04-04,2026-04,0.8502
T100,2026-04-06,2026-04,0.9674
T101,2026-04-06,2026-04,0.8844
T102,2026-04-06,2026-04,0.5409
T103,2026-04-06,2026-04,0.9161
T104,2026-04-06,2026-04,0.108
T105,2026-04-06,2026-04,0.9484
T106,2026-04-06,2026-04,0.9481
T107,2026-04-06,2026-04,0.9949
T108,2026-04-06,2026-04,0.8383
