route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI
T803,2026-05,255,238,9,8,0.161209132053182,0.933333333333333,0.7829
T804,2026-05,45,40,3,2,0.0289380431689948,0.888888888888889,0.8632
T805,2026-05,151,140,9,2,0.0355006617209878,0.927152317880795,0.8942
T807,2026-05,255,229,22,4,0.0359962234891176,0.898039215686275,0.8657
T808,2026-05,204,193,11,0,0.0290206463644316,0.946078431372549,0.9186
T809,2026-05,563,535,24,4,0.0131195583587228,0.950266429840142,0.9378
T810,2026-05,191,159,23,9,0.143685460682516,0.832460732984293,0.7128
T811,2026-05,130,127,3,0,0.0119436513331823,0.976923076923077,0.9653
T812,2026-05,112,104,8,0,0.0747662967397107,0.928571428571429,0.8591
T813,2026-05,323,312,9,2,0.0117244891350447,0.965944272445821,0.9546
T814,2026-05,244,237,3,4,0.015008084389146,0.971311475409836,0.9567
T815,2026-05,757,707,29,21,0.0683393984192167,0.933949801849406,0.8701
T816,2026-05,199,179,19,1,0.0323503572151445,0.899497487437186,0.8704
T817,2026-05,176,164,11,1,0.0900253832604932,0.931818181818182,0.8479
T818,2026-05,225,211,8,6,0.0592380164139893,0.937777777777778,0.8822
T821,2026-05,103,89,13,1,0.0651421758444277,0.864077669902913,0.8078
T852,2026-05,1103,1002,84,17,0.0480062051102514,0.908431550317316,0.8648
