route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI,route_short_name,route_long_name
P1010,2026-04,27,22,2,3,2.10394088669951,0.814814814814815,0,P101,Kompleks F ~ Presint 5
P1080,2026-04,45,39,6,0,0.0967377883701429,0.866666666666667,0.7828,P108,Terminal Putrajaya Sentral ~ Kompleks ABCDE
S6060,2026-04,15,0,15,0,0.388160768894714,0,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-04,69,56,10,3,0.252488427245993,0.811594202898551,0.6067,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-04,266,255,8,3,0.082694686278379,0.958646616541353,0.8794,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2020,2026-04,60,57,1,2,0.0442113150992881,0.95,0.908,T202,Stesen LRT Taman Melati ~ Taman Melewar
T2220,2026-04,132,99,29,4,0.15380129297443,0.75,0.6346,T222,Stesen LRT Sri Rampai ~ UKAY Perdana
T2230,2026-04,87,83,4,0,0.00635457151520163,0.954022988505747,0.948,T223,"Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat"
T2240,2026-04,22,18,2,2,7.89653280667106,0.818181818181818,0,T224,Stesen LRT Dato Keramat ~ Desa Pandan
T2500,2026-04,94,88,5,1,0.0858568634825383,0.936170212765957,0.8558,T250,Stesen LRT Wangsa Maju ~ Setapak Sentral
T2510,2026-04,110,87,22,1,0.061838791567645,0.790909090909091,0.742,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3008,2026-04,187,183,0,4,0.244235019217154,0.978609625668449,0.7396,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3018,2026-04,23,22,1,0,0.0194524495677233,0.956521739130435,0.9379,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2026-04,122,107,13,2,0.0318870013080803,0.877049180327869,0.8491,T302,Hutan Lipur Ampang ~ Ampang Point
T3048,2026-04,145,108,29,8,0.346161472184477,0.744827586206897,0.487,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T3500,2026-04,106,91,14,1,0.232329249064924,0.858490566037736,0.659,T350,Stesen LRT Cempaka ~ Taman Mawar
T3510,2026-04,55,52,2,1,0.0750173009885871,0.945454545454546,0.8745,T351,Stesen LRT Cempaka ~ Taman Bukit Permai
T4068,2026-04,223,206,15,2,0.0563115034508997,0.923766816143498,0.8717,T406,Cheras Batu 10 ~ Pangsun
T5718,2026-04,177,150,18,9,0.13562286190355,0.847457627118644,0.7325,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5800,2026-04,75,61,6,8,0.368212197874738,0.813333333333333,0.5139,T580,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil
T5810,2026-04,119,105,12,2,0.074471004565408,0.882352941176471,0.8166,T581,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil
T6000,2026-04,224,167,56,1,0.15697602139415,0.745535714285714,0.6285,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2026-04,212,204,7,1,0.010720783186345,0.962264150943396,0.9519,T601,Puchong Utama ~ Puchong Prima
T6030,2026-04,82,70,8,4,0.0589963113572783,0.853658536585366,0.8033,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2026-04,164,158,5,1,0.0583568336732604,0.963414634146341,0.9072,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2026-04,317,312,4,1,0.0131269284965346,0.984227129337539,0.9713,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
T6400,2026-04,500,437,54,9,0.153864005110715,0.874,0.7395,T640,Stesen LRT Taman Jaya ~ Taman Sri Sentosa
T7158,2026-04,28,23,5,0,0.0632661825564145,0.821428571428571,0.7695,T715,UiTM Puncak Alam ~ Bandar Puncak Alam
T7548,2026-04,27,22,1,4,33.1692515454481,0.814814814814815,0,T754,Hentian Bandar Shah Alam ~ Terminal Seksyen 17
T7568,2026-04,120,110,9,1,0.0365876894577814,0.916666666666667,0.8831,T756,Kemuning Business Park ~ Hentian Bandar via Taman Muda
T7740,2026-04,188,177,0,11,0.190565160790107,0.941489361702128,0.7621,T774,"Stesen LRT Glenmarie ~ MSU, Stadium Shah Alam"
T7760,2026-04,43,41,0,2,0.232549267338015,0.953488372093023,0.7318,T776,Stesen LRT USJ 7 ~ Subang Mewah
T7800,2026-04,162,152,9,1,0.121709931801898,0.938271604938272,0.8241,T780,Stesen LRT BU 11 ~ Stesen LRT Kelana Jaya
T7810,2026-04,86,56,29,1,0.215841761993726,0.651162790697675,0.5106,T781,Stesen LRT Kelana Jaya ~ Stesen LRT Subang
T7820,2026-04,227,223,0,4,0.0516686132898118,0.982378854625551,0.9316,T782,Stesen LRT Lembah Subang ~ Ara Damansara
