"route_short_name","route_long_name","route_id","total_schedule_duration","month","n","n_on_time","n_early","n_late","otp","log_x1","mae_ratio","sd_mae_ratio","1 - normalised mae ratio","log_I_hat","I_hat"
"P104","Dataran Gemilang ~ PICC via Presint 5","P1040",13.2666666666667,"2025-06",135,124,0,11,0.9185,-0.085,10.8441,13.4709190502607,0,NA,0
"P105","Dataran Gemilang ~ Kompleks ABCDE","P1050",43.8,"2025-04",267,233,11,23,0.8727,-0.1362,12.7595,18.2243835330503,0,NA,0
"P105","Dataran Gemilang ~ Kompleks ABCDE","P1050",43.25,"2025-05",194,177,6,11,0.9124,-0.0917,28.9257,11.6517144477774,0,NA,0
"P105","Dataran Gemilang ~ Kompleks ABCDE","P1050",42.8666666666667,"2025-06",220,200,10,10,0.9091,-0.0953,16.4385,11.6838660243045,0,NA,0
"P106","Presint 4 ~ Kompleks E","P1060",42.85,"2025-04",100,97,2,1,0.97,-0.0305,0.3352,2.68347698807421,0.6648,-0.3974,0.6721
"P106","Presint 4 ~ Kompleks E","P1060",44.1,"2025-05",311,304,2,5,0.9775,-0.0228,42.0174,26.3712670981058,0,NA,0
"P106","Presint 4 ~ Kompleks E","P1060",45.0333333333333,"2025-06",348,340,6,2,0.977,-0.0233,27.0544,17.4115060740419,0,NA,0
"P108","Terminal Putrajaya Sentral ~ Kompleks ABCDE","P1080",32.1,"2025-04",34,29,4,1,0.8529,-0.1591,0.0922,0.392202801888926,0.9078,-0.2503,0.7786
"P108","Terminal Putrajaya Sentral ~ Kompleks ABCDE","P1080",37.5,"2025-05",210,190,18,2,0.9048,-0.1001,0.0947,0.735181684161999,0.9053,-0.1908,0.8263
"P108","Terminal Putrajaya Sentral ~ Kompleks ABCDE","P1080",37.5,"2025-06",166,151,15,0,0.9096,-0.0947,0.0747,0.0153854686980548,0.9253,-0.1766,0.8381
"DS01(AM)","Stesen LRT Ampang ~ KLCC via AKLEH","R0200",15.3,"2025-04",8,5,1,2,0.625,-0.47,4.8764,3.53811602137554,0,NA,0
"DS01(AM)","Stesen LRT Ampang ~ KLCC via AKLEH","R0200",12.0166666666667,"2025-05",8,6,1,1,0.75,-0.2877,0.1706,2.94141768228118,0.8294,-0.4371,0.6459
"DS01(AM)","Stesen LRT Ampang ~ KLCC via AKLEH","R0200",12.0166666666667,"2025-06",6,4,1,1,0.6667,-0.4055,0.043,2.77933718404676,0.957,-0.4861,0.615
"KJ01","Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi","S0030",76.8,"2025-04",322,258,52,12,0.8012,-0.2216,0.228,0.15085125060643,0.772,-0.4307,0.6501
"KJ01","Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi","S0030",77.6333333333333,"2025-05",323,271,46,6,0.839,-0.1755,0.2066,0.0862069465667566,0.7934,-0.3584,0.6988
"KJ01","Hentian Kajang ~ Bandar Kajang via Seksyen 7 Bangi","S0030",77.6333333333333,"2025-06",621,492,112,17,0.7923,-0.2329,0.1427,0.597675066895245,0.8573,-0.3573,0.6996
"AJ01","Ukay Perdana ~ Taman Melawati via Sg. Sering","S0040",65,"2025-04",282,137,142,3,0.4858,-0.7219,0.6469,2.04851571194737,0.3531,-1.9386,0.1439
"AJ01","Ukay Perdana ~ Taman Melawati via Sg. Sering","S0040",65,"2025-05",303,119,176,8,0.3927,-0.9346,3.6469,4.83058175261813,0,NA,0
"AJ01","Ukay Perdana ~ Taman Melawati via Sg. Sering","S0040",65,"2025-06",312,136,169,7,0.4359,-0.8303,5.2845,3.05783539143345,0,NA,0
"BTG1","Hentian Banting ~ Mitsui Outlet , KLIA 2","S0060",28.45,"2025-04",21,19,1,1,0.9048,-0.1001,0.0715,5.9698990791741,0.9285,-0.1812,0.8343
"BTG1","Hentian Banting ~ Mitsui Outlet , KLIA 2","S0060",47.25,"2025-05",62,58,1,3,0.9355,-0.0667,0.1392,23.0422448020942,0.8608,-0.1841,0.8319
"BTG1","Hentian Banting ~ Mitsui Outlet , KLIA 2","S0060",57.5333333333333,"2025-06",64,61,1,2,0.9531,-0.048,0.1056,0.159586375975704,0.8944,-0.1431,0.8667
"MPS1","Selayang Mutiara ~ Stesen LRT Gombak","S0070",135.033333333333,"2025-04",58,46,9,3,0.7931,-0.2318,0.3476,4.44121574093897,0.6524,-0.6273,0.534
"MPS1","Selayang Mutiara ~ Stesen LRT Gombak","S0070",207,"2025-05",161,135,23,3,0.8385,-0.1761,0.3561,23.4229551431652,0.6439,-0.5861,0.5565
"MPS1","Selayang Mutiara ~ Stesen LRT Gombak","S0070",198.866666666667,"2025-06",125,100,21,4,0.8,-0.2231,0.3188,0.0759820283117898,0.6812,-0.5661,0.5677
"PBD1","Stesen MRT Semantan  ~ Damanlela Open CarPark","S0100",4.56666666666667,"2025-04",6,2,3,1,0.3333,-1.0986,0.309,0.0903810520597574,0.691,-1.4482,0.235
"PBD1","Stesen MRT Semantan  ~ Damanlela Open CarPark","S0100",4.56666666666667,"2025-05",6,3,2,1,0.5,-0.6931,0.2275,0.106624263825659,0.7725,-0.9141,0.4009
