"route_id","total_schedule_duration","month","n","n_on_time","n_early","n_late","otp","log_x1","mae_ratio","sd_mae_ratio","1 - normalised mae ratio","log_I_hat","I_hat"
"T113",10.4333333333333,"2025-06",225,222,3,0,0.9867,-0.0134,0.0011,0.0101449437179777,0.9989,-0.0374,0.9633
"T114",57.8166666666667,"2025-04",400,353,44,3,0.8825,-0.125,0.0652,0.0862066573866414,0.9348,-0.1879,0.8287
"T114",56.3,"2025-05",367,330,33,4,0.8992,-0.1063,0.0778,0.0442813984958386,0.9222,-0.1728,0.8413
"T114",58.1,"2025-06",420,378,36,6,0.9,-0.1054,0.0793,0.0675260625448205,0.9207,-0.1725,0.8416
"T115",31.5666666666667,"2025-04",640,585,54,1,0.9141,-0.0899,0.0267,0.0105755745838124,0.9733,-0.1319,0.8764
"T115",31.5666666666667,"2025-05",594,546,46,2,0.9192,-0.0843,0.0297,0.115772487194535,0.9703,-0.1262,0.8814
"T115",31.5666666666667,"2025-06",626,576,50,0,0.9201,-0.0832,0.0282,0.0179311353247665,0.9718,-0.1244,0.883
"T117",13.8166666666667,"2025-04",343,342,1,0,0.9971,-0.0029,2e-04,0.0309675143407482,0.9998,-0.0251,0.9752
"T117",13.8166666666667,"2025-05",339,338,0,1,0.9971,-0.003,0.0016,0.00889423816453509,0.9984,-0.0255,0.9748
"T117",13.8166666666667,"2025-06",348,347,0,1,0.9971,-0.0029,0.0024,0.00399914464538817,0.9976,-0.0257,0.9746
"T118",13.25,"2025-04",256,254,1,1,0.9922,-0.0078,0.0039,0.0131998842587518,0.9961,-0.0314,0.9691
"T118",13.25,"2025-05",312,311,1,0,0.9968,-0.0032,0.0013,0.00394166250416031,0.9987,-0.0257,0.9746
"T118",13.25,"2025-06",308,306,1,1,0.9935,-0.0065,0.0039,0.00946516234650067,0.9961,-0.0301,0.9703
"T119",25.8,"2025-04",373,334,36,3,0.8954,-0.1104,0.3294,0.294100901524932,0.6706,-0.4934,0.6105
"T119",25.8,"2025-05",368,320,34,14,0.8696,-0.1398,0.4064,0.275966309856519,0.5936,-0.6923,0.5004
"T119",25.8,"2025-06",394,355,33,6,0.901,-0.1042,0.1978,0.187612201594498,0.8022,-0.2783,0.7571
"T121",16.0333333333333,"2025-04",195,193,1,1,0.9897,-0.0103,0.0347,0.110836295699759,0.9653,-0.0422,0.9587
"T121",16.0333333333333,"2025-05",150,144,3,3,0.96,-0.0408,0.027,0.0976114007145198,0.973,-0.075,0.9277
"T121",16.0333333333333,"2025-06",173,170,3,0,0.9827,-0.0175,0.0013,0.0821055561636433,0.9987,-0.0422,0.9587
"T152",69.5833333333333,"2025-04",858,749,102,7,0.873,-0.1359,0.0459,0.00435430821141545,0.9541,-0.1913,0.8259
"T152",69.5833333333333,"2025-05",684,597,80,7,0.8728,-0.136,0.0445,0.334956866831183,0.9555,-0.191,0.8261
"T152",69.5833333333333,"2025-06",936,817,111,8,0.8729,-0.136,0.0458,0.0493457079074654,0.9542,-0.1917,0.8256
"T154",64.9166666666667,"2025-04",525,474,39,12,0.9029,-0.1022,0.0761,0.0250657635032328,0.9239,-0.1673,0.8459
"T154",65.4,"2025-05",468,418,38,12,0.8932,-0.113,0.0596,0.106745156361277,0.9404,-0.171,0.8428
"T154",64.2833333333333,"2025-06",488,429,44,15,0.8791,-0.1289,0.0657,0.133046976050782,0.9343,-0.1927,0.8247
"T180",34.1,"2025-04",637,618,12,7,0.9702,-0.0303,0.0234,0.0258991312595616,0.9766,-0.062,0.9399
"T180",34.1,"2025-05",643,625,13,5,0.972,-0.0284,0.0386,0.0114906937978542,0.9614,-0.0643,0.9377
"T180",34.1,"2025-06",589,571,10,8,0.9694,-0.031,0.0174,0.0249890502336313,0.9826,-0.0611,0.9407
"T305",68.1833333333333,"2025-04",792,718,67,7,0.9066,-0.0981,0.1157,1.49299605491776,0.8843,-0.1889,0.8279
"T305",68.1833333333333,"2025-05",498,452,39,7,0.9076,-0.0969,0.1105,0.0325925099263113,0.8895,-0.1837,0.8322
"T305",67.6333333333333,"2025-06",896,811,79,6,0.9051,-0.0997,0.0782,1.43235958962008,0.9218,-0.1658,0.8472
"T352",79.2833333333333,"2025-04",889,720,159,10,0.8099,-0.2108,0.0896,0.0984101747788307,0.9104,-0.3006,0.7404
"T352",80.65,"2025-05",914,746,163,5,0.8162,-0.2031,0.0903,0.0868868709969944,0.9097,-0.2926,0.7463
"T352",80.65,"2025-06",705,566,138,1,0.8028,-0.2196,0.0893,0.46259634779595,0.9107,-0.3107,0.7329
"T400",55.1666666666667,"2025-04",544,509,35,0,0.9357,-0.0665,0.0455,0.211665543960277,0.9545,-0.111,0.8949
"T400",54.75,"2025-05",654,616,31,7,0.9419,-0.0599,0.0606,0.0656677555645015,0.9394,-0.1103,0.8956
"T400",55.1666666666667,"2025-06",739,691,44,4,0.935,-0.0672,0.0422,0.101861424901878,0.9578,-0.1105,0.8954
"T401",57.0333333333333,"2025-04",708,663,39,6,0.9364,-0.0657,0.0251,0.0130001709390471,0.9749,-0.1032,0.9019
"T401",57.0333333333333,"2025-05",839,779,57,3,0.9285,-0.0742,0.0219,0.0134393059737081,0.9781,-0.1123,0.8938
"T401",57.0333333333333,"2025-06",835,781,47,7,0.9353,-0.0669,0.0254,0.0116045035621511,0.9746,-0.1046,0.9007
"T402",37.1166666666667,"2025-04",879,841,33,5,0.9568,-0.0442,0.0237,0.00872665138781448,0.9763,-0.0778,0.9251
"T402",37.1166666666667,"2025-05",864,831,30,3,0.9618,-0.0389,0.0225,0.00537971362447098,0.9775,-0.0713,0.9312
"T402",37.1166666666667,"2025-06",865,829,33,3,0.9584,-0.0425,0.026,0.101505863628054,0.974,-0.0768,0.9261
"T407",39.3333333333333,"2025-05",22,19,3,0,0.8636,-0.1466,0.2144,0.132523897216062,0.7856,-0.3485,0.7057
"T408",33.5,"2025-04",697,605,91,1,0.868,-0.1416,0.0529,0.577877182981913,0.9471,-0.2009,0.818
"T408",33.5,"2025-05",764,674,87,3,0.8822,-0.1253,0.0668,0.388860090732946,0.9332,-0.1893,0.8275
"T408",33.5,"2025-06",767,672,92,3,0.8761,-0.1322,0.0586,0.726140373795687,0.9414,-0.193,0.8245
"T409",17.85,"2025-04",734,711,23,0,0.9687,-0.0318,0.0111,0.0228840980692804,0.9889,-0.0605,0.9413
"T409",17.85,"2025-05",708,687,21,0,0.9703,-0.0301,0.0097,0.00917491803119357,0.9903,-0.0583,0.9434
"T409",17.85,"2025-06",746,721,25,0,0.9665,-0.0341,0.0144,0.00690991744265642,0.9856,-0.0639,0.9381
"T410",38.6333333333333,"2025-04",635,485,134,16,0.7638,-0.2695,0.1263,0.0109471584339397,0.8737,-0.3957,0.6732
"T410",38.6333333333333,"2025-05",595,453,134,8,0.7613,-0.2727,0.1141,0.01105409525823,0.8859,-0.3897,0.6773
"T410",38.6333333333333,"2025-06",667,513,142,12,0.7691,-0.2625,0.14,0.0204727189748265,0.86,-0.3994,0.6707
"T411",19.9666666666667,"2025-04",372,369,2,1,0.9919,-0.0081,0.0275,0.35394491803104,0.9725,-0.0372,0.9635
"T411",19.9666666666667,"2025-05",437,433,2,2,0.9908,-0.0092,0.0089,0.010073946376887,0.9911,-0.034,0.9666
"T411",19.9666666666667,"2025-06",439,435,2,2,0.9909,-0.0092,0.0043,0.0361809527932756,0.9957,-0.033,0.9675
"T412",24.5833333333333,"2025-04",765,747,12,6,0.9765,-0.0238,0.0111,0.00679953021253021,0.9889,-0.0512,0.9501
"T412",24.5833333333333,"2025-05",675,660,12,3,0.9778,-0.0225,0.0152,0.0053635778201651,0.9848,-0.0506,0.9507
"T412",24.5833333333333,"2025-06",663,649,8,6,0.9789,-0.0213,0.0076,0.021043284547841,0.9924,-0.0475,0.9536
"T413",23.1,"2025-04",545,534,7,4,0.9798,-0.0204,0.0124,0.0140696481832347,0.9876,-0.0478,0.9533
"T413",23.1,"2025-05",440,431,5,4,0.9795,-0.0207,0.0082,0.0242493604764432,0.9918,-0.0472,0.9539
