route_id,date,month,BPI,route_short_name,route_long_name
S6060,2026-07-01,2026-07,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-07-01,2026-07,0.8202,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-07-01,2026-07,0.8562,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2500,2026-07-01,2026-07,0.8865,T250,Stesen LRT Wangsa Maju ~ Setapak Sentral
T2510,2026-07-01,2026-07,0,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3018,2026-07-01,2026-07,0.9447,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2026-07-01,2026-07,0.9073,T302,Hutan Lipur Ampang ~ Ampang Point
T3048,2026-07-01,2026-07,0,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T3500,2026-07-01,2026-07,0,T350,Stesen LRT Cempaka ~ Taman Mawar
T3510,2026-07-01,2026-07,0,T351,Stesen LRT Cempaka ~ Taman Bukit Permai
T4068,2026-07-01,2026-07,0.9265,T406,Cheras Batu 10 ~ Pangsun
T5718,2026-07-01,2026-07,0.781,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5800,2026-07-01,2026-07,0.5792,T580,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil
T6000,2026-07-01,2026-07,0.6446,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2026-07-01,2026-07,0.9538,T601,Puchong Utama ~ Puchong Prima
T6030,2026-07-01,2026-07,0.8103,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2026-07-01,2026-07,0.9149,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2026-07-01,2026-07,0.9009,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
T6400,2026-07-01,2026-07,0.6794,T640,Stesen LRT Taman Jaya ~ Taman Sri Sentosa
T7158,2026-07-01,2026-07,1,T715,UiTM Puncak Alam ~ Bandar Puncak Alam
