route_id,date,month,BPI
T100,2026-05-04,2026-05,0.9224
T101,2026-05-04,2026-05,0.9014
T102,2026-05-04,2026-05,0.9247
T103,2026-05-04,2026-05,0.9337
T104,2026-05-04,2026-05,0.9892
T105,2026-05-04,2026-05,0.9583
T106,2026-05-04,2026-05,0.9579
T107,2026-05-04,2026-05,0.9708
T108,2026-05-04,2026-05,0.9074
T109,2026-05-04,2026-05,0.8877
T110,2026-05-04,2026-05,0.8805
T114,2026-05-04,2026-05,0.816
T115,2026-05-04,2026-05,0.8948
T117,2026-05-04,2026-05,0.996
T121,2026-05-04,2026-05,0.9647
T152,2026-05-04,2026-05,0.8738
T154,2026-05-04,2026-05,0.818
T180,2026-05-04,2026-05,0.94
T305,2026-05-04,2026-05,0.8564
T352,2026-05-04,2026-05,0.7876
T400,2026-05-04,2026-05,0.8424
T401,2026-05-04,2026-05,0.8738
T402,2026-05-04,2026-05,0.8841
T407,2026-05-04,2026-05,0.7761
T408,2026-05-04,2026-05,0.8776
T409,2026-05-04,2026-05,0.9443
T410,2026-05-04,2026-05,0.5869
T411,2026-05-04,2026-05,0.9753
T412,2026-05-04,2026-05,0.9703
T413,2026-05-04,2026-05,0.9687
T414,2026-05-04,2026-05,0.9625
T415,2026-05-04,2026-05,0.7229
T416,2026-05-04,2026-05,0.7338
T417,2026-05-04,2026-05,0.9749
T418,2026-05-04,2026-05,0.8308
T419,2026-05-04,2026-05,0.7151
T451,2026-05-04,2026-05,0.8252
T453,2026-05-04,2026-05,0.8943
T455,2026-05-04,2026-05,0.896
T457,2026-05-04,2026-05,0.8808
T458,2026-05-04,2026-05,0.8933
T459,2026-05-04,2026-05,0.8516
T460,2026-05-04,2026-05,0.8687
T461,2026-05-04,2026-05,0.7713
T462,2026-05-04,2026-05,0.9278
T463,2026-05-04,2026-05,0
T464,2026-05-04,2026-05,0.7498
T465,2026-05-04,2026-05,0.8138
T505,2026-05-04,2026-05,0.903
T506,2026-05-04,2026-05,0.6244
T509,2026-05-04,2026-05,0.8254
T511,2026-05-04,2026-05,0.8231
T543,2026-05-04,2026-05,0.8429
T544,2026-05-04,2026-05,0.8255
T559,2026-05-04,2026-05,0.6421
T560,2026-05-04,2026-05,0.8679
T561,2026-05-04,2026-05,0.9265
T565,2026-05-04,2026-05,0.8047
T566,2026-05-04,2026-05,0.5939
T567,2026-05-04,2026-05,0.9454
T568,2026-05-04,2026-05,0.7653
T585,2026-05-04,2026-05,0.8456
T586,2026-05-04,2026-05,0.9263
T587,2026-05-04,2026-05,0.9097
T588,2026-05-04,2026-05,0.9028
T589,2026-05-04,2026-05,0.8927
T772,2026-05-04,2026-05,0.667
T801,2026-05-04,2026-05,0.9332
T802,2026-05-04,2026-05,0.8726
T803,2026-05-04,2026-05,0.846
T804,2026-05-04,2026-05,0.5381
T805,2026-05-04,2026-05,0.8711
T807,2026-05-04,2026-05,0.874
T808,2026-05-04,2026-05,0.9463
T809,2026-05-04,2026-05,0.9565
T810,2026-05-04,2026-05,0.7238
T811,2026-05-04,2026-05,0.9644
T812,2026-05-04,2026-05,0.788
T813,2026-05-04,2026-05,0.9606
T814,2026-05-04,2026-05,0.9413
T815,2026-05-04,2026-05,0.8586
T816,2026-05-04,2026-05,0.9136
T817,2026-05-04,2026-05,0.8479
T818,2026-05-04,2026-05,0.8989
T821,2026-05-04,2026-05,0.7883
T852,2026-05-04,2026-05,0.8736
T100,2026-05-05,2026-05,0.926
T101,2026-05-05,2026-05,0.8729
T102,2026-05-05,2026-05,0.9236
T103,2026-05-05,2026-05,0.9387
T104,2026-05-05,2026-05,0.7809
T105,2026-05-05,2026-05,0.6518
T106,2026-05-05,2026-05,0.9835
T107,2026-05-05,2026-05,0.9843
T108,2026-05-05,2026-05,0.8917
T109,2026-05-05,2026-05,0.9187
T110,2026-05-05,2026-05,0.914
T114,2026-05-05,2026-05,0.7857
T115,2026-05-05,2026-05,0.8904
T117,2026-05-05,2026-05,0.9912
T121,2026-05-05,2026-05,0.9059
T152,2026-05-05,2026-05,0.8449
T154,2026-05-05,2026-05,0.8471
T180,2026-05-05,2026-05,0.9202
T305,2026-05-05,2026-05,0.775
T352,2026-05-05,2026-05,0.7764
T400,2026-05-05,2026-05,0.9536
T401,2026-05-05,2026-05,0.8889
T402,2026-05-05,2026-05,0
