route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI,route_short_name,route_long_name
U1730,2026-01,288,284,0,4,0.148704795064425,0.986111111111111,0.8395,173,Taman Jasa Utama ~ Lebuh Ampang
U1800,2026-01,354,313,40,1,0.0816703163140798,0.884180790960452,0.812,180,Taman Dato' Senu ~ Hab Pasar Seni
U1900,2026-01,682,663,13,6,0.0435253857598095,0.972140762463343,0.9298,190,Desa Sri Hartamas ~ Lin Ho Jln Lekiu
U2000,2026-01,392,381,0,11,0.45706453220451,0.971938775510204,0.5277,200,UIA Gombak ~ SOGO KL
U2020,2026-01,868,771,81,16,0.131292447095115,0.888248847926267,0.7716,202,Hub Wira Damai ~ Lebuh Ampang via Gombak
U2200,2026-01,277,252,13,12,0.396667498100797,0.909747292418773,0.5489,220,Taman Melawati ~ Lebuh Ampang
U2220,2026-01,242,211,27,4,0.0971552942385418,0.871900826446281,0.7872,222,Taman Melawati ~ Stesen LRT Wangsa Maju
U2500,2026-01,1896,1878,2,16,0.0579542516229804,0.990506329113924,0.9331,250,Stesen LRT Wangsa Maju ~ Lebuh Ampang
U2510,2026-01,372,365,0,7,0.1279534325096,0.981182795698925,0.8556,251,AU3 Jentayu ~ Chow Kit
U2538,2026-01,253,220,28,5,0.380848420442246,0.869565217391304,0.5384,253,Stesen LRT Wangsa Maju ~ Ampang Point
U2548,2026-01,56,49,3,4,0.209455548236208,0.875,0.6917,254,Ayer Panas ~ Titiwangsa via Chowkit
U3000,2026-01,589,573,8,8,0.193934282542052,0.972835314091681,0.7842,300,Terminal Maluri ~ Lebuh Ampang
U3020,2026-01,156,147,7,2,0.0225346750744055,0.942307692307692,0.9211,302,Titiwangsa ~ KLCC
U3030,2026-01,318,312,0,6,0.0307837017646736,0.981132075471698,0.9509,303,Taman Mulia Jaya ~ Lebuh Ampang
U4000,2026-01,289,273,0,16,0.346275429892662,0.944636678200692,0.6175,400,Damai Perdana ~ Hab Lebuh Pudu via Bukit Bintang
U4200,2026-01,395,377,0,18,0.345920241302539,0.954430379746835,0.6243,420,Hentian Taman Dagang ~ Menara Maybank via Bukit Bintang
U4210,2026-01,689,594,84,11,0.143788193964028,0.862119013062409,0.7382,421,Hentian Taman Dagang ~ Menara Maybank via Bukit Bintang
U4500,2026-01,340,301,36,3,0.074847203171927,0.885294117647059,0.819,450,Hentian Kajang ~ Hab Lebuh Pudu
U5410,2026-01,169,154,8,7,6.98064764976834,0.911242603550296,0,541,Stesen MRT Taman Equine ~ Stesen LRT BK 5
U5800,2026-01,128,122,2,4,0.468032307817193,0.953125,0.507,580,Desa Petaling ~ Pasar Seni via Stesen LRT Salak Selatan
U5810,2026-01,197,128,58,11,0.210941993597138,0.649746192893401,0.5127,581,Desa Tasik ~ Stesen LRT Bandar Tasik Selatan
U5900,2026-01,123,118,0,5,0.135854521782684,0.959349593495935,0.829,590,Bandar Sungai Long ~ Hab Pasar Seni
U6000,2026-01,1068,796,267,5,0.18169391585293,0.745318352059925,0.6099,600,Puchong Utama ~ Hab Pasar Seni
U6400,2026-01,772,709,50,13,0.0702530697124448,0.91839378238342,0.8539,640,Hab Bas Sri Manja ~ Hab Pasar Seni
U6418,2026-01,242,219,15,8,0.156138300630993,0.90495867768595,0.7637,641,Stesen LRT Subang Jaya ~ Pearl Point
U6500,2026-01,245,220,23,2,0.0727638750535576,0.897959183673469,0.8326,650,Taman Desa ~ Hab Pasar Seni
U6510,2026-01,76,60,13,3,0.0684531200797472,0.789473684210526,0.7354,651,Stesen LRT Muhibbah ~Pearl Point
U6520,2026-01,256,234,16,6,0.0184794530579899,0.9140625,0.8972,652,Stesen LRT Awan Besar ~Batu 3 Jalan Klang Lama
U7508,2026-01,344,322,14,8,0.0444344841823016,0.936046511627907,0.8945,750,Hab Sekysen 2 ~ Hab Pasar Seni
U7510,2026-01,469,393,59,17,0.221758940987416,0.837953091684435,0.6521,751,Taman Sri Muda ~ Hab Pasar Seni
U7520,2026-01,144,128,13,3,0.102115247269635,0.888888888888889,0.7981,752,Stesen LRT Putra Height ~ Hentian Bandar Shah Alam
U7538,2026-01,77,73,2,2,0.0411430406440717,0.948051948051948,0.909,753,Hentian Bandar Shah Alam ~ UiTM Puncak Alam
U7548,2026-01,45,40,3,2,0.0676983628437339,0.888888888888889,0.8287,754,Sekysen 13 Shah Alam ~ UITM Puncak Perdana
U7700,2026-01,155,132,19,4,0.184223174504825,0.851612903225806,0.6947,770,Subang Mewah USJ 1 ~ Hab Pasar Seni
U7718,2026-01,86,82,0,4,0.104648337944225,0.953488372093023,0.8537,771,Subang Mewah USJ 1 ~ Desa Mentari via Persiaran Tujuan
U7720,2026-01,288,247,36,5,0.0984440499572597,0.857638888888889,0.7732,772,Subang Suria Mah Sing ~ Hab Pasar Seni
U7800,2026-01,172,166,1,5,0.0739329725494991,0.965116279069768,0.8938,780,Kota Damansara ~ Hab Pasar Seni
U7828,2026-01,203,181,19,3,0.0601840280982278,0.891625615763547,0.838,782,Hentian PJ Old Town ~ Hab Pasar Seni
U7830,2026-01,113,94,10,9,0.231304074118221,0.831858407079646,0.6394,783,Stesen LRT Kelana Jaya ~ Subang Parade
U8210,2026-01,494,439,43,12,0.0879521174577598,0.888663967611336,0.8105,821,Pantai Hill Park ~ Hab Pasar Seni
U8220,2026-01,109,104,2,3,9.84411659470658,0.954128440366972,0,822,Stesen LRT Bangsar ~ Bangsar Shopping Centre
