route_id,month,n,n_on_time,n_early,n_late,mae_ratio,otp,BPI,route_short_name,route_long_name
P1010,2026-01,58,53,4,1,1.37753813630204,0.913793103448276,0,P101,Kompleks F ~ Presint 5
P1020,2026-01,92,64,28,0,0.0816814230141536,0.695652173913044,0.6388,P102,Presint 11 ~ Kompleks E
P1030,2026-01,212,168,35,9,0.332084949567359,0.792452830188679,0.5293,P103,Presint 14 via Alamanda ~ Kompleks E
P1040,2026-01,75,68,0,7,1.61284250094502,0.906666666666667,0,P104,Dataran Gemilang ~ PICC via Presint 5
P1050,2026-01,30,28,1,1,0.307110438729198,0.933333333333333,0.6467,P105,Dataran Gemilang ~ Kompleks ABCDE
P1060,2026-01,18,17,1,0,0.00477099236641221,0.944444444444444,0.9399,P106,Presint 4 ~ Kompleks E
P1080,2026-01,28,25,2,1,0.086697247706422,0.892857142857143,0.8154,P108,Terminal Putrajaya Sentral ~ Kompleks ABCDE
S5010,2026-01,1,1,0,0,0,1,1,MENARA PRASARANA,LRT Lembah Subang ~ Menara Prasarana
S6060,2026-01,21,0,20,1,0.384248778744192,0,0,PAVILION BUKIT JALIL (PAVBJ),Stesen LRT Awan Besar ~ Pavilion Bukit Jalil
T2000,2026-01,81,67,12,2,0.172358174364284,0.82716049382716,0.6846,T200,Stesen LRT Gombak ~ UIA Gombak
T2010,2026-01,318,296,15,7,0.0932445080911594,0.930817610062893,0.844,T201,Stesen LRT Gombak ~ Hab Wira Damai
T2020,2026-01,115,107,5,3,0.331479187116373,0.930434782608696,0.622,T202,Stesen LRT Taman Melati ~ Taman Melewar
T2220,2026-01,145,123,17,5,0.239557485120806,0.848275862068966,0.6451,T222,Stesen LRT Sri Rampai ~ UKAY Perdana
T2230,2026-01,246,239,7,0,0.00555067960782517,0.971544715447154,0.9662,T223,"Stesen LRT Setiawangsa ~ AU3, Jentayu, Keramat"
T2240,2026-01,91,71,17,3,1.39210747769178,0.78021978021978,0,T224,Stesen LRT Dato Keramat ~ Desa Pandan
T2500,2026-01,82,74,8,0,0.0207373882941015,0.902439024390244,0.8837,T250,Stesen LRT Wangsa Maju ~ Setapak Sentral
T2510,2026-01,150,126,22,2,0.0582136911346095,0.84,0.7911,T251,Stesen LRT Sri Rampai ~ Seksyen 10 Wangsa Maju
T3008,2026-01,341,329,0,12,0.472266869785416,0.964809384164223,0.5092,T300,Bukit Indah ~ Ampang Point via Jalan Rasmi
T3018,2026-01,184,177,6,1,0.02830904096776,0.96195652173913,0.9347,T301,Taman Mulia Jaya ~ Ampang Point via Jalan Merdeka
T3028,2026-01,204,178,25,1,0.0139189099389428,0.872549019607843,0.8604,T302,Hutan Lipur Ampang ~ Ampang Point
T3030,2026-01,57,44,9,4,0.175716478954828,0.771929824561403,0.6363,T303,Ampang Point ~ Stesen LRT Pandan Indah
T3048,2026-01,242,187,42,13,0.35118644200483,0.772727272727273,0.5014,T304,Bukit Indah ~ Ampang Point via Jalan Ampang
T3500,2026-01,134,107,25,2,0.112947359915728,0.798507462686567,0.7083,T350,Stesen LRT Cempaka ~ Taman Mawar
T3510,2026-01,144,132,8,4,0.11340831798048,0.916666666666667,0.8127,T351,Stesen LRT Cempaka ~ Taman Bukit Permai
T4068,2026-01,141,120,21,0,0.084156249185306,0.851063829787234,0.7794,T406,Cheras Batu 10 ~ Pangsun
T5718,2026-01,85,72,11,2,0.129878764767372,0.847058823529412,0.737,T571,Stesen KTM Serdang ~ Taman Sri Pulai
T5800,2026-01,42,35,2,5,0.313623272141538,0.833333333333333,0.572,T580,Stesen LRT Awan Besar ~ TPM via Stesen LRT Bukit Jalil
T5810,2026-01,138,120,17,1,0.103845010667501,0.869565217391304,0.7793,T581,Stesen LRT Alam Sutera ~ PPR Pinggiran Bukit Jalil
T6000,2026-01,152,113,39,0,0.16943590004673,0.743421052631579,0.6175,T600,Stesen LRT IOI Puchong ~ Taman Wawasan
T6010,2026-01,222,215,7,0,0.0141834398245341,0.968468468468468,0.9547,T601,Puchong Utama ~ Puchong Prima
T6030,2026-01,50,42,8,0,0.0280648001281711,0.84,0.8164,T603,Stesen LRT Puchong Prima ~ Taman Mas Sepang
T6040,2026-01,49,45,4,0,0.0226960110041266,0.918367346938776,0.8975,T604,Stesen LRT Perindustrian Puchong ~ Taman Kinrara
T6050,2026-01,166,164,2,0,0.00954525280534794,0.987951807228916,0.9785,T605,Stesen LRT Bandar Puteri ~ Taman Wawasan
T6400,2026-01,373,325,39,9,0.155800681766732,0.871313672922252,0.7356,T640,Stesen LRT Taman Jaya ~ Taman Sri Sentosa
T7158,2026-01,6,5,0,1,0.0368663594470046,0.833333333333333,0.8026,T715,UiTM Puncak Alam ~ Bandar Puncak Alam
T7538,2026-01,160,141,18,1,0.0264171789951154,0.88125,0.858,T753,"Hentian Bandar Shah Alam ~ Sekysen 11, 9, 8, 6, 5"
T7548,2026-01,40,38,0,2,23.7348484848485,0.95,0,T754,Hentian Bandar Shah Alam ~ Terminal Seksyen 17
T7568,2026-01,73,66,7,0,0.0637019155107908,0.904109589041096,0.8465,T756,Kemuning Business Park ~ Hentian Bandar via Taman Muda
T7740,2026-01,101,93,0,8,0.243668035377474,0.920792079207921,0.6964,T774,"Stesen LRT Glenmarie ~ MSU, Stadium Shah Alam"
T7760,2026-01,74,72,0,2,0.0549210614712798,0.972972972972973,0.9195,T776,Stesen LRT USJ 7 ~ Subang Mewah
T7800,2026-01,154,140,6,8,0.197916293079144,0.909090909090909,0.7292,T780,Stesen LRT Kelana Jaya ~ Taman Mayang
T7810,2026-01,59,53,3,3,0.0449670037245983,0.898305084745763,0.8579,T781,Stesen LRT Kelana Jaya ~ Kelana Centre Point
T7820,2026-01,258,256,0,2,0.0472079977180424,0.992248062015504,0.9454,T782,Stesen LRT Lembah Subang ~ Ara Damansara
T7860,2026-01,138,133,0,5,0.155717578846997,0.963768115942029,0.8137,T786,Stesen LRT Asia Jaya ~ Stesen MRT Phileo Damansara
T7870,2026-01,186,175,9,2,0.0189572745220714,0.940860215053764,0.923,T787,Stesen LRT Asia Jaya ~ Seksyen 14 & 18
T7880,2026-01,1,1,0,0,0,1,1,T788,Stesen LRT Universiti ~ Mid Valley
T7890,2026-01,192,185,0,7,0.0622188738265717,0.963541666666667,0.9036,T789,Stesen LRT Universiti ~ Universiti Malaya via Pantai Hillpark
T7900,2026-01,1,1,0,0,0,1,1,T790,Stesen LRT Paramount ~ Mid Valley
T7910,2026-01,236,230,2,4,0.0897585740521031,0.974576271186441,0.8871,T791,Stesen LRT Kerinchi ~ Pantai Hill Park
T8500,2026-01,43,42,0,1,0.125498007968128,0.976744186046512,0.8542,T850,Stesen LRT Bangsar ~ Stesen MRT Semantan
T8510,2026-01,6,2,4,0,0.331366764995084,0.333333333333333,0.2229,T851,KL Sentral ~ Parlimen
U1510,2026-01,347,260,80,7,0.158264625378376,0.749279538904899,0.6307,151,Bandar Baru Selayang ~ Hab Lebuh Pudu
U1710,2026-01,495,470,18,7,0.149025444890722,0.949494949494949,0.808,171,Hab Wira Damai ~ Lebuh Ampang via Sentul
