route_id,date,month,BPI
T100,2026-06-03,2026-06,0.937
T101,2026-06-03,2026-06,0.8075
T102,2026-06-03,2026-06,0.8695
T103,2026-06-03,2026-06,0.913
T104,2026-06-03,2026-06,0.9121
T105,2026-06-03,2026-06,0.7038
T106,2026-06-03,2026-06,0.9007
T107,2026-06-03,2026-06,0.8493
T108,2026-06-03,2026-06,0.8646
T109,2026-06-03,2026-06,0.8765
T110,2026-06-03,2026-06,0.874
T114,2026-06-03,2026-06,0.7083
T115,2026-06-03,2026-06,0.863
T117,2026-06-03,2026-06,1
T121,2026-06-03,2026-06,0.9487
T152,2026-06-03,2026-06,0.8214
T154,2026-06-03,2026-06,0.9085
T180,2026-06-03,2026-06,0.6881
T305,2026-06-03,2026-06,0.8054
T352,2026-06-03,2026-06,0.7791
T400,2026-06-03,2026-06,0.9556
T401,2026-06-03,2026-06,0.8593
T402,2026-06-03,2026-06,0
T407,2026-06-03,2026-06,0.6868
T408,2026-06-03,2026-06,0.8939
T409,2026-06-03,2026-06,0.9445
T410,2026-06-03,2026-06,0.6171
T411,2026-06-03,2026-06,0.9643
T412,2026-06-03,2026-06,0.9784
T413,2026-06-03,2026-06,0.9533
T414,2026-06-03,2026-06,0.4764
T415,2026-06-03,2026-06,0.7357
T416,2026-06-03,2026-06,0.4958
T417,2026-06-03,2026-06,0.0438
T418,2026-06-03,2026-06,0.852
T419,2026-06-03,2026-06,0.741
T451,2026-06-03,2026-06,0.7963
T453,2026-06-03,2026-06,0.9042
T455,2026-06-03,2026-06,0.6578
T457,2026-06-03,2026-06,0.9213
T458,2026-06-03,2026-06,0.8668
T459,2026-06-03,2026-06,0.8397
T460,2026-06-03,2026-06,0.8946
T461,2026-06-03,2026-06,0
T462,2026-06-03,2026-06,0.9638
T463,2026-06-03,2026-06,0.9307
T464,2026-06-03,2026-06,0.8187
T465,2026-06-03,2026-06,0
T504,2026-06-03,2026-06,0.878
T505,2026-06-03,2026-06,0.8868
T511,2026-06-03,2026-06,0.8173
T543,2026-06-03,2026-06,0.8394
T544,2026-06-03,2026-06,0.8603
T545,2026-06-03,2026-06,0.661
T559,2026-06-03,2026-06,0.6602
T560,2026-06-03,2026-06,0.88
T561,2026-06-03,2026-06,0.9463
T565,2026-06-03,2026-06,0.8921
T566,2026-06-03,2026-06,0.9301
T567,2026-06-03,2026-06,0.9116
T568,2026-06-03,2026-06,0.7659
T569,2026-06-03,2026-06,0.8261
T585,2026-06-03,2026-06,0.9077
T586,2026-06-03,2026-06,0.8853
T587,2026-06-03,2026-06,0.8722
T588,2026-06-03,2026-06,0.8927
T589,2026-06-03,2026-06,0.9186
T772,2026-06-03,2026-06,0.5529
T801,2026-06-03,2026-06,0.9699
T802,2026-06-03,2026-06,0.9101
T803,2026-06-03,2026-06,0.8405
T804,2026-06-03,2026-06,0.8083
T805,2026-06-03,2026-06,0.8857
T807,2026-06-03,2026-06,0.8522
T808,2026-06-03,2026-06,0.8521
T809,2026-06-03,2026-06,0.9119
T810,2026-06-03,2026-06,0.6622
T811,2026-06-03,2026-06,0.968
T812,2026-06-03,2026-06,0.7297
T813,2026-06-03,2026-06,0.8998
T814,2026-06-03,2026-06,0.933
T815,2026-06-03,2026-06,0.8697
T816,2026-06-03,2026-06,0.8631
T817,2026-06-03,2026-06,0.8415
T818,2026-06-03,2026-06,0.8883
T821,2026-06-03,2026-06,0.836
T852,2026-06-03,2026-06,0.82
T100,2026-06-04,2026-06,0.9613
T101,2026-06-04,2026-06,0.9201
T102,2026-06-04,2026-06,0.9707
T103,2026-06-04,2026-06,0.897
T104,2026-06-04,2026-06,0.704
T105,2026-06-04,2026-06,0.9925
T106,2026-06-04,2026-06,0.9565
T107,2026-06-04,2026-06,0.9934
T108,2026-06-04,2026-06,0.8882
T109,2026-06-04,2026-06,0.8887
T110,2026-06-04,2026-06,0.8799
T114,2026-06-04,2026-06,0.7981
T115,2026-06-04,2026-06,0.8705
T117,2026-06-04,2026-06,1
T121,2026-06-04,2026-06,0.9615
T152,2026-06-04,2026-06,0.0929
T154,2026-06-04,2026-06,0.8988
T180,2026-06-04,2026-06,0.961
T305,2026-06-04,2026-06,0.7121
T352,2026-06-04,2026-06,0.7308
T400,2026-06-04,2026-06,0.9584
T401,2026-06-04,2026-06,0.9128
T402,2026-06-04,2026-06,0.3801
T407,2026-06-04,2026-06,0.7502
T408,2026-06-04,2026-06,0.8999
T409,2026-06-04,2026-06,0.9399
T410,2026-06-04,2026-06,0.5875
T411,2026-06-04,2026-06,0.9299
T412,2026-06-04,2026-06,0.9828
T413,2026-06-04,2026-06,0.9962
T414,2026-06-04,2026-06,0.9047
T415,2026-06-04,2026-06,0.658
T416,2026-06-04,2026-06,0
T417,2026-06-04,2026-06,0.9727
T418,2026-06-04,2026-06,0.8952
T419,2026-06-04,2026-06,0.7439
T451,2026-06-04,2026-06,0.7705
T453,2026-06-04,2026-06,0.9108
T455,2026-06-04,2026-06,0.8488
T457,2026-06-04,2026-06,0.9086
T458,2026-06-04,2026-06,0.9002
T459,2026-06-04,2026-06,0.8734
T460,2026-06-04,2026-06,0.7689
T461,2026-06-04,2026-06,0.8743
T462,2026-06-04,2026-06,0.9494
T463,2026-06-04,2026-06,0
T464,2026-06-04,2026-06,0.6919
T465,2026-06-04,2026-06,0.8022
T507,2026-06-04,2026-06,0.9154
T509,2026-06-04,2026-06,0.8038
T511,2026-06-04,2026-06,0.7925
T543,2026-06-04,2026-06,0.9039
T544,2026-06-04,2026-06,0.8924
T559,2026-06-04,2026-06,0.6326
T560,2026-06-04,2026-06,0.893
T561,2026-06-04,2026-06,0.9243
T565,2026-06-04,2026-06,0.8719
T566,2026-06-04,2026-06,0.9198
T567,2026-06-04,2026-06,0.8995
T568,2026-06-04,2026-06,0.7666
T569,2026-06-04,2026-06,0.7342
T585,2026-06-04,2026-06,0.9664
T586,2026-06-04,2026-06,0.9424
T587,2026-06-04,2026-06,0.9685
T588,2026-06-04,2026-06,0.9485
T589,2026-06-04,2026-06,0.8975
T772,2026-06-04,2026-06,0.5207
T801,2026-06-04,2026-06,0.499
T802,2026-06-04,2026-06,0.9387
T803,2026-06-04,2026-06,0.7465
T804,2026-06-04,2026-06,0.8164
T805,2026-06-04,2026-06,0.8606
T807,2026-06-04,2026-06,0.8295
T808,2026-06-04,2026-06,0.8912
T809,2026-06-04,2026-06,0.8567
T810,2026-06-04,2026-06,0.5437
T811,2026-06-04,2026-06,0.9258
T812,2026-06-04,2026-06,0.846
T813,2026-06-04,2026-06,0.9237
T814,2026-06-04,2026-06,0.9588
T815,2026-06-04,2026-06,0.9197
T816,2026-06-04,2026-06,0.1629
T817,2026-06-04,2026-06,0.6459
T818,2026-06-04,2026-06,0.8914
T821,2026-06-04,2026-06,0.8541
T852,2026-06-04,2026-06,0.893
T100,2026-06-05,2026-06,0.9773
T101,2026-06-05,2026-06,0.9314
T102,2026-06-05,2026-06,0.5345
T103,2026-06-05,2026-06,0.9426
T104,2026-06-05,2026-06,0.879
T105,2026-06-05,2026-06,1
T106,2026-06-05,2026-06,0.957
T107,2026-06-05,2026-06,1
T108,2026-06-05,2026-06,0.912
T109,2026-06-05,2026-06,0.9138
T110,2026-06-05,2026-06,0.874
T114,2026-06-05,2026-06,0.8496
T115,2026-06-05,2026-06,0.8736
T117,2026-06-05,2026-06,0.9941
T121,2026-06-05,2026-06,0.9615
T152,2026-06-05,2026-06,0.853
T154,2026-06-05,2026-06,0.9151
T180,2026-06-05,2026-06,0.9619
T305,2026-06-05,2026-06,0
T352,2026-06-05,2026-06,0.7551
T400,2026-06-05,2026-06,0.9821
T401,2026-06-05,2026-06,0.9158
T402,2026-06-05,2026-06,0.9438
T407,2026-06-05,2026-06,0.6796
T408,2026-06-05,2026-06,0.9036
T409,2026-06-05,2026-06,0.9603
T410,2026-06-05,2026-06,0.581
T411,2026-06-05,2026-06,0.9155
T412,2026-06-05,2026-06,0.9839
T413,2026-06-05,2026-06,0.9698
T414,2026-06-05,2026-06,0.8925
T415,2026-06-05,2026-06,0.6363
T416,2026-06-05,2026-06,0.8145
T417,2026-06-05,2026-06,0.8652
T418,2026-06-05,2026-06,0.8497
T419,2026-06-05,2026-06,0.7135
T451,2026-06-05,2026-06,0.8054
T453,2026-06-05,2026-06,0.8988
T455,2026-06-05,2026-06,0.6825
T457,2026-06-05,2026-06,0.9412
T458,2026-06-05,2026-06,0.8724
T459,2026-06-05,2026-06,0.8477
T460,2026-06-05,2026-06,0.899
T461,2026-06-05,2026-06,0.7691
T462,2026-06-05,2026-06,0.9577
T463,2026-06-05,2026-06,0.938
T464,2026-06-05,2026-06,0.7042
T465,2026-06-05,2026-06,0.8543
T507,2026-06-05,2026-06,0.9422
T509,2026-06-05,2026-06,0.835
T511,2026-06-05,2026-06,0.7704
T543,2026-06-05,2026-06,0.8384
T544,2026-06-05,2026-06,0.9082
T559,2026-06-05,2026-06,0.7154
T560,2026-06-05,2026-06,0.8874
T561,2026-06-05,2026-06,0.9422
T565,2026-06-05,2026-06,0.9396
T566,2026-06-05,2026-06,0.9277
T568,2026-06-05,2026-06,0.8582
T569,2026-06-05,2026-06,0.8288
T585,2026-06-05,2026-06,0.4218
T586,2026-06-05,2026-06,0.8497
T587,2026-06-05,2026-06,0.9185
T588,2026-06-05,2026-06,0.9542
T589,2026-06-05,2026-06,0.884
T772,2026-06-05,2026-06,0.7509
T801,2026-06-05,2026-06,0.9347
T802,2026-06-05,2026-06,0.3217
T803,2026-06-05,2026-06,0
T804,2026-06-05,2026-06,0.9023
T805,2026-06-05,2026-06,0.9307
T807,2026-06-05,2026-06,0.8796
T808,2026-06-05,2026-06,0.9139
T809,2026-06-05,2026-06,0.9454
T810,2026-06-05,2026-06,0.7424
T811,2026-06-05,2026-06,0.9625
T812,2026-06-05,2026-06,0.8871
T813,2026-06-05,2026-06,0.9798
T814,2026-06-05,2026-06,0.9834
T815,2026-06-05,2026-06,0.9212
T816,2026-06-05,2026-06,0.9069
T817,2026-06-05,2026-06,0.8453
T818,2026-06-05,2026-06,0.8911
T821,2026-06-05,2026-06,0.8756
T852,2026-06-05,2026-06,0.8798
