route_id,date,month,BPI
T100,2026-07-01,2026-07,0.8111
T101,2026-07-01,2026-07,0.9074
T102,2026-07-01,2026-07,0.9034
T103,2026-07-01,2026-07,0.9061
T104,2026-07-01,2026-07,0.9135
T105,2026-07-01,2026-07,0.893
T106,2026-07-01,2026-07,0.948
T107,2026-07-01,2026-07,0.9439
T108,2026-07-01,2026-07,0.8588
T109,2026-07-01,2026-07,0.864
T110,2026-07-01,2026-07,0.9
T114,2026-07-01,2026-07,0.7802
T115,2026-07-01,2026-07,0.9058
T117,2026-07-01,2026-07,1
T121,2026-07-01,2026-07,0.9566
T152,2026-07-01,2026-07,0.6485
T154,2026-07-01,2026-07,0.9076
T180,2026-07-01,2026-07,0.9504
T305,2026-07-01,2026-07,0.8663
T352,2026-07-01,2026-07,0.8037
T400,2026-07-01,2026-07,0.9516
T401,2026-07-01,2026-07,0.8531
T402,2026-07-01,2026-07,0
T408,2026-07-01,2026-07,0.874
T409,2026-07-01,2026-07,0.9504
T410,2026-07-01,2026-07,0.6931
T411,2026-07-01,2026-07,0.9386
T412,2026-07-01,2026-07,0.9754
T413,2026-07-01,2026-07,0.9507
T414,2026-07-01,2026-07,0.8765
T415,2026-07-01,2026-07,0.6322
T416,2026-07-01,2026-07,0.0914
T417,2026-07-01,2026-07,0.8721
T418,2026-07-01,2026-07,0.8331
T419,2026-07-01,2026-07,0.8155
T451,2026-07-01,2026-07,0.7329
T453,2026-07-01,2026-07,0.876
T455,2026-07-01,2026-07,0.8882
T457,2026-07-01,2026-07,0.9227
T458,2026-07-01,2026-07,0.8711
T459,2026-07-01,2026-07,0.89
T460,2026-07-01,2026-07,0.8954
T461,2026-07-01,2026-07,0
T462,2026-07-01,2026-07,0.9485
T463,2026-07-01,2026-07,0.899
T464,2026-07-01,2026-07,0.7673
T465,2026-07-01,2026-07,0.8056
T504,2026-07-01,2026-07,0.8662
T507,2026-07-01,2026-07,0.9346
T509,2026-07-01,2026-07,0.8361
T511,2026-07-01,2026-07,0.7955
T543,2026-07-01,2026-07,0
T544,2026-07-01,2026-07,0.8625
T545,2026-07-01,2026-07,0.5662
T559,2026-07-01,2026-07,0.7038
T560,2026-07-01,2026-07,0.8993
T561,2026-07-01,2026-07,0.9481
T565,2026-07-01,2026-07,0.9141
T566,2026-07-01,2026-07,0.8914
T567,2026-07-01,2026-07,0.8988
T568,2026-07-01,2026-07,0.8626
T569,2026-07-01,2026-07,0.8122
T585,2026-07-01,2026-07,0.9281
T586,2026-07-01,2026-07,0.9394
T587,2026-07-01,2026-07,0.8418
T588,2026-07-01,2026-07,0.9064
T589,2026-07-01,2026-07,0.8704
T772,2026-07-01,2026-07,0.6879
T801,2026-07-01,2026-07,0.9661
T802,2026-07-01,2026-07,0.8752
T803,2026-07-01,2026-07,0.905
T804,2026-07-01,2026-07,0.7834
T805,2026-07-01,2026-07,0.8991
T807,2026-07-01,2026-07,0.9116
T808,2026-07-01,2026-07,0.9253
T809,2026-07-01,2026-07,0.9537
T810,2026-07-01,2026-07,0.69
T811,2026-07-01,2026-07,0.9572
